date,open,high,low,close,volume
2023-12-11,27.74,27.74,26.88,27.27,5700
2023-12-12,27.74,27.74,27.07,27.07,1111
2023-12-13,27.74,27.74,26.79,27.74,1800
2023-12-14,27.74,27.74,27.07,27.07,1100
2023-12-15,27.74,27.74,26.79,27.36,3701
2023-12-18,27.65,27.65,26.88,27.07,4100
2023-12-19,28.22,28.22,28.22,28.22,100
2023-12-20,27.07,27.65,27.07,27.65,2500
2023-12-21,27.17,29.08,27.17,29.08,15200
2023-12-22,28.6,28.99,27.94,28.7,3300
2023-12-25,27.74,27.74,27.74,27.74,1000
2023-12-26,28.7,28.7,27.94,28.7,1600
2023-12-27,28.7,28.7,27.55,28.6,800
2023-12-28,28.22,28.6,27.74,28.6,2600
2023-12-29,28.32,29.56,27.74,28.7,22700
2024-01-02,29.27,29.56,29.27,29.56,3900
2024-01-03,29.27,29.27,29.27,29.27,0
2024-01-04,28.6,28.6,28.6,28.6,100
2024-01-05,28.22,28.7,28.22,28.7,1000
2024-01-08,27.74,27.74,27.74,27.74,12100
2024-01-09,27.36,28.6,27.36,28.6,1800
2024-01-10,27.46,28.41,27.46,28.41,2500
2024-01-11,28.7,28.7,27.55,27.55,400
2024-01-12,27.46,27.46,27.46,27.46,2000
2024-01-15,27.46,27.46,27.46,27.46,0
2024-01-16,27.27,27.27,27.27,27.27,2800
2024-01-17,27.27,27.27,27.27,27.27,2700
2024-01-18,27.27,27.27,27.27,27.27,0
2024-01-19,28.6,28.6,27.27,27.27,500
2024-01-22,27.36,28.03,27.36,28.03,11100
2024-01-23,27.27,27.27,27.27,27.27,400
2024-01-24,29.56,29.56,27.36,28.7,17600
2024-01-25,27.65,27.65,27.65,27.65,0
2024-01-26,28.13,31.76,28.13,31.76,8500
2024-01-29,28.7,28.7,28.7,28.7,100
2024-01-30,27.55,28.7,27.55,28.7,1000
2024-01-31,28.7,28.7,28.7,28.7,105
2024-02-01,28.7,28.7,28.7,28.7,0
2024-02-02,27.55,27.55,27.55,27.55,4300
2024-02-05,27.55,27.55,27.46,27.46,5101
2024-02-06,28.22,28.22,27.36,27.36,200
2024-02-07,28.22,31.57,27.94,31.57,4600
2024-02-15,29.56,29.56,29.56,29.56,100
2024-02-16,28.7,28.7,28.7,28.7,1000
2024-02-19,27.74,29.08,27.65,29.08,10100
2024-02-20,28.22,28.22,27.74,27.74,300
2024-02-21,28.03,28.03,28.03,28.03,0
2024-02-22,27.36,27.46,27.36,27.36,2500
2024-02-23,27.55,28.51,27.55,28.51,2000
2024-02-26,26.79,28.13,26.79,28.13,1800
2024-02-27,27.65,27.65,26.88,26.88,2000
2024-02-28,28.32,28.32,28.32,28.32,200
2024-02-29,28.32,28.32,28.32,28.32,0
2024-03-01,26.98,27.65,26.98,27.65,3100
2024-03-04,26.98,28.6,26.98,28.6,7800
2024-03-05,26.98,27.74,26.98,27.74,4200
2024-03-06,26.98,26.98,26.98,26.98,0
2024-03-07,27.27,27.27,27.27,27.27,2000
2024-03-08,27.27,27.27,27.27,27.27,0
2024-03-11,27.27,27.27,27.27,27.27,0
2024-03-12,27.27,27.74,27.27,27.55,2500
2024-03-13,27.74,27.74,27.74,27.74,100
2024-03-14,27.74,27.74,27.74,27.74,0
2024-03-15,27.07,27.74,27.07,27.74,4400
2024-03-18,27.17,27.17,27.17,27.17,7300
2024-03-19,27.07,27.17,27.07,27.17,2900
2024-03-20,27.07,27.74,27.07,27.74,3000
2024-03-21,27.17,27.27,27.17,27.27,1700
2024-03-22,27.27,27.27,27.27,27.27,0
2024-03-25,27.27,27.27,27.17,27.27,2600
2024-03-26,26.98,27.74,26.98,27.74,700
2024-03-27,27.65,27.65,27.27,27.27,8800
2024-03-28,27.27,27.74,27.17,27.74,15500
2024-03-29,31.0,31.0,27.17,27.84,6300
2024-04-01,28.7,28.7,28.7,28.7,0
2024-04-02,28.7,28.7,28.7,28.7,0
2024-04-03,28.7,28.7,28.7,28.7,0
2024-04-04,26.98,28.41,26.98,28.41,500
2024-04-05,27.27,28.51,27.27,28.51,2400
2024-04-08,28.41,28.7,28.22,28.22,4800
2024-04-09,28.32,28.7,27.74,27.74,6500
2024-04-10,28.6,28.6,28.22,28.22,1900
2024-04-11,28.22,28.22,28.13,28.13,1500
2024-04-12,28.41,28.41,27.55,28.22,1600
2024-04-15,27.36,28.22,27.36,28.22,4000
2024-04-16,27.36,27.36,27.36,27.36,0
2024-04-17,26.79,28.22,26.5,28.22,7401
2024-04-19,26.79,27.27,26.79,27.27,5105
2024-04-22,27.17,27.17,27.17,27.17,100
2024-04-23,26.79,27.55,26.79,27.55,400
2024-04-24,26.98,26.98,26.98,26.98,0
2024-04-25,26.88,27.27,26.88,27.27,2400
2024-04-26,27.46,30.9,27.36,30.9,1900
2024-05-02,28.7,28.7,28.7,28.7,100
2024-05-03,28.7,28.7,28.7,28.7,0
2024-05-06,33.01,33.01,33.01,33.01,103
2024-05-07,28.13,37.79,28.13,28.22,4500
2024-05-08,36.55,36.55,36.55,36.55,0
2024-05-09,36.55,36.55,36.55,36.55,0
2024-05-10,36.55,36.55,36.55,36.55,0
2024-05-13,36.55,36.55,36.55,36.55,0
2024-05-14,36.55,36.55,36.55,36.55,0
2024-05-15,31.09,31.09,31.09,31.09,200
2024-05-16,26.6,26.6,26.6,26.6,505
2024-05-17,26.79,28.7,26.6,28.7,3800
2024-05-20,28.8,29.27,28.32,29.18,6900
2024-05-21,28.89,28.89,27.55,28.89,13000
2024-05-22,28.7,28.7,28.6,28.7,6700
2024-05-23,28.03,28.7,27.74,28.7,3000
2024-05-24,28.7,28.7,27.94,28.6,1600
2024-05-27,28.7,28.7,28.51,28.51,10300
2024-05-28,28.7,29.08,28.22,28.7,10100
2024-05-29,28.7,28.7,28.51,28.51,2500
2024-05-30,28.7,28.7,28.7,28.7,1602
2024-05-31,28.7,28.7,28.7,28.7,1
2024-06-03,27.74,28.7,27.74,28.7,2102
2024-06-04,28.6,28.6,28.6,28.6,100
2024-06-05,28.6,28.6,28.6,28.6,0
2024-06-06,28.6,28.6,28.6,28.6,0
2024-06-07,27.65,27.94,27.65,27.94,1600
2024-06-10,27.65,28.22,27.65,28.22,800
2024-06-11,27.65,28.6,27.65,28.6,200
2024-06-12,28.6,28.6,28.6,28.6,100
2024-06-13,28.22,28.6,28.22,28.6,300
2024-06-14,28.51,28.6,28.51,28.6,200
2024-06-17,27.74,27.74,27.74,27.74,300
2024-06-18,27.74,27.74,27.74,27.74,0
2024-06-19,28.7,28.7,28.7,28.7,100
2024-06-20,28.6,28.7,28.51,28.51,14600
2024-06-21,28.22,28.7,28.22,28.7,800
2024-06-24,27.65,28.7,27.55,28.7,5000
2024-06-25,27.55,27.55,27.55,27.55,1600
2024-06-26,27.55,28.6,27.55,28.6,700
2024-06-27,27.84,27.84,27.84,27.84,0
2024-06-28,27.84,28.7,27.84,28.7,25500
2024-07-01,27.55,27.55,27.55,27.55,1500
2024-07-02,27.55,28.7,27.36,28.7,7200
2024-07-03,27.55,28.51,27.36,28.51,2200
2024-07-04,28.6,28.6,28.6,28.6,100
2024-07-05,27.46,27.46,27.46,27.46,2006
2024-07-08,27.55,27.55,27.55,27.55,200
2024-07-09,28.51,28.51,28.51,28.51,20000
2024-07-10,27.46,28.03,27.46,27.46,1800
2024-07-11,26.79,27.74,26.79,27.74,600
2024-07-12,27.74,28.22,27.74,28.22,32000
2024-07-15,28.22,28.22,28.22,28.22,3000
2024-07-16,27.27,27.27,27.17,27.27,5201
2024-07-17,27.27,27.27,27.27,27.27,100
2024-07-18,27.27,27.27,27.27,27.27,0
2024-07-19,27.27,27.27,27.27,27.27,0
2024-07-22,27.65,27.65,27.65,27.65,100
2024-07-23,26.98,27.55,26.98,27.55,900
2024-07-24,26.79,27.27,26.79,27.27,1201
2024-07-25,26.79,26.79,26.79,26.79,3000
2024-07-26,27.17,27.17,27.07,27.17,5700
2024-07-29,26.88,28.51,26.79,28.51,1000
2024-07-30,26.98,28.41,26.98,28.41,300
2024-07-31,27.94,27.94,27.94,27.94,0
2024-08-01,27.94,27.94,27.94,27.94,0
2024-08-02,28.22,28.22,28.22,28.22,100
2024-08-05,28.51,28.51,28.51,28.51,100
2024-08-06,28.51,28.51,28.51,28.51,0
2024-08-07,28.51,28.51,28.51,28.51,0
2024-08-08,28.51,28.51,28.51,28.51,0
2024-08-09,28.51,28.51,28.51,28.51,0
2024-08-12,28.6,28.6,26.88,26.88,200
2024-08-13,28.22,28.22,28.22,28.22,100
2024-08-14,27.55,27.55,27.55,27.55,100
2024-08-15,27.55,27.55,27.55,27.55,0
2024-08-16,28.7,28.7,28.7,28.7,100
2024-08-19,27.07,28.41,26.88,28.41,400
2024-08-20,27.36,27.36,27.36,27.36,0
2024-08-21,26.88,28.7,26.88,28.32,28000
2024-08-22,26.88,26.88,26.88,26.88,0
2024-08-23,26.88,28.6,26.88,28.6,4500
2024-08-26,27.65,27.65,26.98,26.98,200
2024-08-27,28.51,28.51,26.88,26.88,300
2024-08-28,28.7,28.7,28.7,28.7,100
2024-08-29,27.27,28.41,27.27,28.41,1700
