date,open,high,low,close,volume
2023-05-09,12.2,12.2,12.2,12.2,0
2023-05-10,12.2,12.2,11.0,11.0,900
2023-05-11,10.2,10.2,10.0,10.0,3000
2023-05-12,10.6,10.6,10.6,10.6,200
2023-05-15,10.6,10.6,9.5,9.7,900
2023-05-16,9.5,9.7,9.5,9.5,1302
2023-05-17,9.5,9.5,9.5,9.5,1200
2023-05-18,9.5,9.5,9.5,9.5,1200
2023-05-19,10.0,10.0,9.1,9.1,3900
2023-05-22,10.7,10.7,9.4,9.4,621
2023-05-23,10.6,10.6,10.6,10.6,100
2023-05-24,10.9,10.9,9.1,9.8,7101
2023-05-25,8.2,9.4,8.0,8.5,18200
2023-05-26,9.3,9.3,9.3,9.3,1400
2023-05-29,9.9,9.9,9.3,9.3,2200
2023-05-30,9.8,9.8,9.8,9.8,0
2023-05-31,9.8,9.8,9.8,9.8,0
2023-06-01,10.9,10.9,8.9,8.9,1200
2023-06-02,8.4,8.4,8.4,8.4,1300
2023-06-05,9.5,9.5,8.9,9.2,2800
2023-06-06,9.3,9.3,9.0,9.0,1800
2023-06-07,9.2,9.7,9.2,9.7,3400
2023-06-08,9.2,9.2,9.1,9.1,34200
2023-06-09,9.3,9.3,9.3,9.3,100
2023-06-12,9.0,9.5,9.0,9.5,6900
2023-06-13,9.1,9.2,9.0,9.1,3500
2023-06-14,9.1,9.1,9.1,9.1,900
2023-06-15,9.1,9.7,9.0,9.7,1300
2023-06-16,9.1,9.1,9.1,9.1,500
2023-06-19,9.5,9.5,9.5,9.5,2000
2023-06-20,9.5,9.5,9.5,9.5,0
2023-06-21,9.1,9.1,9.1,9.1,500
2023-06-22,9.0,9.2,8.9,9.2,900
2023-06-23,9.1,9.8,9.0,9.5,700
2023-06-26,9.5,9.5,9.5,9.5,100
2023-06-27,9.5,9.5,9.5,9.5,0
2023-06-28,9.1,9.1,9.1,9.1,200
2023-06-29,9.0,10.4,9.0,10.0,7900
2023-06-30,10.2,11.5,10.2,11.5,3100
2023-07-03,11.5,11.5,8.9,9.0,2200
2023-07-04,9.2,9.2,9.2,9.2,0
2023-07-05,9.8,9.8,9.8,9.8,100
2023-07-06,9.2,9.2,9.1,9.1,601
2023-07-07,9.1,9.7,9.1,9.7,600
2023-07-10,9.6,9.6,9.6,9.6,0
2023-07-11,9.0,9.0,8.2,8.8,3100
2023-07-12,9.7,9.7,9.7,9.7,100
2023-07-13,9.8,9.8,9.8,9.8,300
2023-07-14,9.8,9.8,9.8,9.8,20
2023-07-17,9.5,10.3,9.5,10.3,5000
2023-07-18,10.0,10.0,10.0,10.0,1000
2023-07-19,10.0,10.0,10.0,10.0,0
2023-07-20,10.0,10.0,10.0,10.0,0
2023-07-21,10.0,10.0,9.2,9.2,5595
2023-07-24,9.3,9.5,9.3,9.3,5080
2023-07-25,9.9,9.9,9.9,9.9,100
2023-07-26,9.9,10.0,9.9,10.0,200
2023-07-27,10.0,10.0,10.0,10.0,0
2023-07-28,10.0,10.0,9.9,9.9,200
2023-07-31,9.2,9.2,9.2,9.2,500
2023-08-01,9.1,9.1,8.8,8.8,832
2023-08-02,9.0,10.1,9.0,10.1,19800
2023-08-03,11.3,11.3,11.0,11.3,25739
2023-08-04,12.8,12.8,12.8,12.8,29000
2023-08-07,14.7,14.7,14.6,14.7,11500
2023-08-08,16.7,16.7,16.6,16.7,47609
2023-08-09,18.8,18.8,15.0,16.5,16500
2023-08-10,16.8,16.8,16.0,16.0,47600
2023-08-11,14.3,16.0,14.3,15.9,26300
2023-08-14,17.5,17.5,17.5,17.5,17101
2023-08-15,20.1,20.1,18.9,20.1,34000
2023-08-16,22.0,22.0,18.0,21.2,7600
2023-08-17,19.0,19.0,18.5,18.5,4300
2023-08-18,18.0,21.6,16.0,16.5,56200
2023-08-21,16.8,19.8,16.8,19.8,9400
2023-08-22,19.2,20.5,18.0,20.0,10000
2023-08-23,19.6,19.6,18.5,18.5,1000
2023-08-24,18.3,18.3,17.5,17.5,6300
2023-08-25,17.5,18.1,17.5,17.8,9900
2023-08-28,17.9,19.8,17.9,19.8,1800
2023-08-29,18.2,19.0,18.2,19.0,3700
2023-08-30,18.5,20.6,18.5,20.0,12900
2023-08-31,20.0,20.0,18.2,19.0,21400
2023-09-05,19.0,21.0,18.9,20.9,17900
2023-09-06,23.0,23.1,18.7,20.0,600
2023-09-07,21.2,22.9,19.1,21.9,5500
2023-09-08,19.1,19.3,19.0,19.1,13501
2023-09-11,19.0,19.1,19.0,19.1,4500
2023-09-12,19.1,19.1,19.0,19.1,4800
2023-09-13,19.0,20.5,18.6,20.0,18100
2023-09-14,22.0,22.0,18.3,21.0,2900
2023-09-15,20.8,20.8,18.1,18.6,7800
2023-09-18,18.1,18.1,18.0,18.0,2800
2023-09-19,18.0,18.0,17.9,18.0,8100
2023-09-20,18.0,18.3,18.0,18.3,3000
2023-09-21,17.0,18.1,17.0,18.1,9200
2023-09-22,16.3,17.7,15.4,17.7,24700
2023-09-25,17.4,17.4,14.1,14.1,10100
2023-09-26,16.3,16.3,16.3,16.3,100
2023-09-27,14.3,14.3,14.0,14.0,5400
2023-09-28,15.0,16.2,15.0,16.2,5500
2023-09-29,17.5,17.5,17.5,17.5,100
2023-10-02,19.2,19.2,19.2,19.2,100
2023-10-03,16.4,17.0,16.4,16.4,2700
2023-10-04,16.6,16.6,16.6,16.6,0
2023-10-05,16.6,16.6,16.6,16.6,300
2023-10-06,14.3,14.3,14.3,14.3,300
2023-10-09,12.7,12.7,12.7,12.7,100
2023-10-10,14.5,14.5,12.8,12.8,300
2023-10-11,15.3,15.4,15.3,15.4,900
2023-10-12,16.9,17.2,16.9,17.2,400
2023-10-13,15.0,15.0,15.0,15.0,1000
2023-10-16,15.0,15.0,15.0,15.0,0
2023-10-17,15.0,15.0,15.0,15.0,0
2023-10-18,13.2,13.5,13.0,13.0,3000
2023-10-19,14.8,14.8,14.8,14.8,100
2023-10-20,13.5,14.0,13.5,14.0,1000
2023-10-23,12.5,12.5,12.5,12.5,100
2023-10-24,14.2,14.3,11.8,12.5,1400
2023-10-25,14.3,14.3,12.5,12.5,300
2023-10-26,11.2,11.2,11.2,11.2,5200
2023-10-27,10.9,10.9,9.7,9.8,5000
2023-10-30,11.5,11.6,11.5,11.6,302
2023-10-31,11.5,11.5,11.5,11.5,0
2023-11-01,12.8,12.8,12.8,12.8,300
2023-11-02,13.6,13.6,13.6,13.6,100
2023-11-03,12.0,12.0,11.6,11.6,2400
2023-11-06,12.0,12.0,12.0,12.0,600
2023-11-07,12.0,12.0,12.0,12.0,0
2023-11-08,12.7,12.8,12.7,12.8,400
2023-11-09,11.2,12.0,11.2,12.0,900
2023-11-10,13.3,13.3,13.3,13.3,100
2023-11-13,14.5,14.5,14.5,14.5,100
2023-11-14,16.2,16.2,13.9,13.9,800
2023-11-15,15.2,15.2,15.2,15.2,100
2023-11-16,13.5,13.5,13.0,13.0,4700
2023-11-17,11.6,12.0,11.6,12.0,1100
2023-11-20,12.9,12.9,11.1,12.9,300
2023-11-21,12.3,12.3,12.3,12.3,3200
2023-11-22,12.3,12.3,12.3,12.3,500
2023-11-23,13.4,13.5,13.4,13.5,3500
2023-11-24,11.7,11.7,11.6,11.6,1000
2023-11-27,12.5,13.3,11.4,13.3,3400
2023-11-28,11.9,11.9,11.9,11.9,100
2023-11-29,13.0,13.0,12.2,13.0,1900
2023-11-30,14.6,14.6,14.6,14.6,100
2023-12-01,12.8,12.8,12.8,12.8,100
2023-12-04,13.0,13.8,13.0,13.8,4200
2023-12-05,13.9,15.3,13.9,15.3,300
2023-12-06,15.8,15.9,15.8,15.9,600
2023-12-07,18.0,18.0,13.8,15.5,2700
2023-12-08,13.7,14.9,13.5,14.9,6200
2023-12-11,15.0,15.0,13.9,14.7,500
2023-12-12,14.5,15.0,14.5,15.0,2500
2023-12-13,15.0,15.0,15.0,15.0,600
2023-12-14,17.0,17.0,16.8,16.8,200
2023-12-15,16.9,16.9,16.9,16.9,0
2023-12-18,15.0,15.0,15.0,15.0,700
2023-12-19,13.5,13.9,13.5,13.8,1000
2023-12-20,13.5,13.6,13.5,13.6,500
2023-12-21,13.5,13.5,12.3,13.0,4100
2023-12-22,12.9,12.9,12.9,12.9,0
2023-12-25,12.9,12.9,11.7,12.9,4700
2023-12-26,11.5,13.6,11.5,13.6,2200
2023-12-27,13.0,13.0,13.0,13.0,400
2023-12-28,13.0,13.0,13.0,13.0,0
2023-12-29,12.5,13.0,12.5,13.0,400
2024-01-02,12.5,12.5,12.5,12.5,700
2024-01-03,14.2,14.2,11.5,11.5,1000
2024-01-04,12.1,12.1,12.0,12.0,2000
2024-01-05,12.0,13.6,12.0,13.6,1100
2024-01-08,12.0,12.0,12.0,12.0,2000
2024-01-09,13.0,13.0,13.0,13.0,100
2024-01-10,12.0,12.0,11.1,11.1,13800
2024-01-11,12.8,12.8,12.8,12.8,1600
2024-01-12,14.6,14.6,11.0,13.1,6200
2024-01-15,11.0,11.0,11.0,11.0,2200
2024-01-16,12.0,12.0,12.0,12.0,100
2024-01-17,12.0,12.0,12.0,12.0,0
2024-01-18,12.0,12.0,12.0,12.0,0
2024-01-19,11.5,11.5,11.5,11.5,2000
2024-01-22,11.5,11.5,11.5,11.5,0
2024-01-23,11.5,11.5,11.5,11.5,0
2024-01-24,11.5,11.5,11.5,11.5,0
2024-01-25,12.1,12.1,12.1,12.1,100
2024-01-26,12.1,12.1,12.1,12.1,0
2024-01-29,13.5,13.5,12.9,12.9,400
2024-01-30,13.1,13.1,13.1,13.1,0
2024-01-31,13.1,13.1,13.1,13.1,0
2024-02-01,11.3,12.7,11.2,11.2,4500
2024-02-02,11.2,11.2,11.2,11.2,1
2024-02-05,11.2,11.2,10.5,11.1,2300
2024-02-06,11.1,11.1,11.1,11.1,200
2024-02-07,11.1,11.1,11.1,11.1,1400
2024-02-15,11.1,11.1,11.1,11.1,0
2024-02-16,11.7,11.8,11.7,11.8,600
2024-02-19,11.8,11.8,10.7,11.7,2200
2024-02-20,10.9,11.2,10.2,10.2,9600
2024-02-21,10.3,10.3,10.3,10.3,1300
2024-02-22,10.3,10.3,10.3,10.3,0
2024-02-23,11.6,11.6,11.4,11.4,900
2024-02-26,11.0,11.5,10.9,11.2,6700
2024-02-27,11.4,11.7,11.0,11.7,6400
2024-02-28,11.4,11.4,10.9,10.9,5700
2024-02-29,11.2,11.2,11.2,11.2,3000
2024-03-01,11.8,12.1,11.8,12.1,3400
2024-03-04,13.2,13.8,12.0,12.0,3700
2024-03-05,13.9,14.5,13.9,14.5,700
2024-03-06,15.8,15.8,12.4,12.4,500
2024-03-07,12.5,12.5,12.5,12.5,200
2024-03-08,12.5,12.5,12.5,12.5,0
2024-03-11,13.0,13.0,13.0,13.0,100
2024-03-12,13.0,13.0,13.0,13.0,0
2024-03-13,13.0,13.0,13.0,13.0,1400
2024-03-14,14.9,14.9,12.0,14.5,300
2024-03-15,13.8,14.0,13.8,14.0,5300
2024-03-18,15.0,15.0,11.9,11.9,4900
2024-03-19,12.2,12.2,12.2,12.2,0
2024-03-20,12.2,12.2,12.2,12.2,1000
2024-03-21,14.0,14.0,12.2,12.2,19200
2024-03-22,12.4,12.4,12.4,12.4,9
2024-03-25,12.4,12.4,12.4,12.4,0
2024-03-26,12.4,12.4,12.4,12.4,2
2024-03-27,12.4,12.4,12.4,12.4,1
2024-03-28,11.0,11.9,10.9,11.1,4300
2024-03-29,11.1,11.1,11.1,11.1,100
2024-04-01,12.7,12.7,12.5,12.5,900
2024-04-02,12.5,12.5,12.5,12.5,0
2024-04-03,11.5,11.5,11.2,11.2,9000
2024-04-04,11.4,11.4,11.4,11.4,1000
2024-04-05,11.3,11.4,11.3,11.4,1800
2024-04-08,11.4,11.4,11.4,11.4,0
2024-04-09,11.4,11.4,11.4,11.4,1000
2024-04-10,12.3,12.3,12.3,12.3,101
2024-04-11,12.3,12.3,12.3,12.3,0
2024-04-12,11.0,11.0,11.0,11.0,209
2024-04-15,11.0,11.0,11.0,11.0,0
2024-04-16,10.1,10.1,10.0,10.0,1210
2024-04-17,10.0,10.0,9.0,9.0,9000
2024-04-19,9.7,11.2,9.7,11.2,2900
2024-04-22,10.0,11.2,10.0,11.2,200
2024-04-23,11.0,11.1,11.0,11.1,200
2024-04-24,11.1,11.1,11.1,11.1,60
2024-04-25,11.9,11.9,11.9,11.9,100
2024-04-26,11.9,11.9,11.9,11.9,0
2024-05-02,11.9,11.9,11.8,11.8,800
2024-05-03,10.2,10.9,10.1,10.9,900
2024-05-06,11.3,11.3,11.3,11.3,200
2024-05-07,11.3,11.3,11.3,11.3,0
2024-05-08,11.2,11.2,9.8,9.8,2500
2024-05-09,11.4,11.4,11.4,11.4,100
2024-05-10,11.4,11.4,11.4,11.4,0
2024-05-13,11.4,11.4,11.4,11.4,0
2024-05-14,9.8,9.8,9.8,9.8,100
2024-05-15,10.9,10.9,10.9,10.9,800
2024-05-16,10.9,11.1,10.9,10.9,2000
2024-05-17,12.0,12.0,10.0,10.0,1000
2024-05-20,11.0,11.0,10.8,10.8,200
2024-05-21,10.9,11.5,10.9,10.9,2500
2024-05-22,12.7,12.7,11.0,11.5,6000
2024-05-23,11.6,13.2,11.4,11.4,4000
2024-05-24,13.0,13.0,10.6,10.6,2500
2024-05-27,12.8,12.8,10.0,11.3,6800
2024-05-28,11.6,11.6,10.1,10.1,12900
2024-05-29,11.5,11.5,10.0,10.0,10700
2024-05-30,10.1,10.4,10.1,10.4,10300
2024-05-31,10.1,10.5,10.1,10.5,25300
2024-06-03,10.9,10.9,10.4,10.4,2200
2024-06-04,10.7,10.7,10.7,10.7,0
2024-06-05,10.0,12.3,9.8,10.9,35700
2024-06-06,10.8,10.8,10.7,10.7,1400
2024-06-07,12.2,12.2,11.0,12.0,8500
2024-06-10,10.2,11.9,10.2,10.5,4300
2024-06-11,12.4,12.4,11.0,11.0,400
2024-06-12,10.5,11.3,10.5,11.3,6900
2024-06-13,10.1,11.2,10.1,10.7,1700
2024-06-14,11.2,11.2,10.3,10.3,1100
2024-06-17,11.7,11.7,11.7,11.7,100
2024-06-18,11.7,11.7,11.7,11.7,0
2024-06-19,10.6,11.7,10.3,11.7,1200
2024-06-20,10.6,12.2,10.2,11.1,12300
2024-06-21,12.0,12.1,12.0,12.1,200
2024-06-24,10.5,10.5,10.5,10.5,500
2024-06-25,9.3,10.0,9.2,9.9,2400
2024-06-26,10.6,10.6,10.6,10.6,900
2024-06-27,10.6,10.6,10.6,10.6,0
2024-06-28,10.0,10.0,10.0,10.0,3400
2024-07-01,10.0,10.0,10.0,10.0,0
2024-07-02,9.3,9.5,9.3,9.3,8200
2024-07-03,9.4,9.4,9.4,9.4,0
2024-07-04,9.4,9.4,9.3,9.3,3400
2024-07-05,9.3,9.3,9.3,9.3,300
