date,open,high,low,close,volume
2023-02-28,9.0,9.0,9.0,9.0,0
2023-03-01,9.0,9.0,9.0,9.0,0
2023-03-02,10.3,10.3,7.7,7.7,1400
2023-03-03,8.0,8.0,8.0,8.0,0
2023-03-06,8.0,8.0,8.0,8.0,0
2023-03-07,8.0,8.0,8.0,8.0,0
2023-03-08,9.2,9.2,6.8,6.8,900
2023-03-09,7.1,7.1,7.1,7.1,0
2023-03-10,7.1,7.1,7.1,7.1,0
2023-03-13,7.1,7.1,7.1,7.1,0
2023-03-14,7.1,7.1,7.1,7.1,0
2023-03-15,8.1,8.1,8.1,8.1,100
2023-03-16,8.1,8.1,8.1,8.1,0
2023-03-17,8.1,8.1,8.1,8.1,0
2023-03-20,8.1,8.1,8.1,8.1,0
2023-03-21,8.1,8.1,8.1,8.1,0
2023-03-22,8.1,8.1,8.1,8.1,0
2023-03-23,8.1,8.1,8.1,8.1,0
2023-03-24,8.1,8.1,8.1,8.1,0
2023-03-27,8.1,8.1,8.1,8.1,0
2023-03-28,8.1,8.1,8.1,8.1,0
2023-03-29,8.1,8.1,8.1,8.1,0
2023-03-30,8.1,8.1,8.1,8.1,0
2023-03-31,8.1,8.1,8.1,8.1,0
2023-04-03,8.1,8.1,8.1,8.1,0
2023-04-04,8.1,8.1,8.1,8.1,0
2023-04-05,8.1,8.1,8.1,8.1,0
2023-04-06,8.1,8.1,8.1,8.1,0
2023-04-07,8.1,8.1,8.1,8.1,0
2023-04-10,8.1,8.1,8.1,8.1,0
2023-04-11,8.1,8.1,8.1,8.1,0
2023-04-12,8.1,8.1,8.1,8.1,0
2023-04-13,8.1,8.1,8.1,8.1,0
2023-04-14,8.1,8.1,8.1,8.1,0
2023-04-17,8.1,8.1,8.1,8.1,0
2023-04-18,8.1,8.1,8.1,8.1,0
2023-04-19,8.1,8.1,8.1,8.1,0
2023-04-20,8.1,8.1,8.1,8.1,0
2023-04-21,8.1,8.1,8.1,8.1,0
2023-04-24,8.1,8.1,8.1,8.1,0
2023-04-25,8.1,8.1,8.1,8.1,0
2023-04-26,8.1,8.1,8.1,8.1,0
2023-04-27,8.1,8.1,8.1,8.1,0
2023-04-28,6.8,6.8,4.9,4.9,200
2023-05-04,5.9,5.9,5.9,5.9,0
2023-05-05,5.9,5.9,5.9,5.9,0
2023-05-08,5.9,5.9,5.9,5.9,0
2023-05-09,5.9,5.9,5.9,5.9,0
2023-05-10,5.9,5.9,5.9,5.9,0
2023-05-11,5.9,5.9,5.9,5.9,0
2023-05-12,5.9,5.9,5.9,5.9,0
2023-05-15,5.9,5.9,5.9,5.9,0
2023-05-16,5.9,5.9,5.9,5.9,0
2023-05-17,5.1,5.1,5.1,5.1,200
2023-05-18,5.1,5.1,5.1,5.1,0
2023-05-19,5.1,5.1,5.1,5.1,0
2023-05-22,5.1,5.1,5.1,5.1,0
2023-05-23,5.1,5.1,5.1,5.1,1
2023-05-24,5.1,5.1,5.1,5.1,0
2023-05-25,5.1,5.1,5.1,5.1,0
2023-05-26,5.8,5.8,5.8,5.8,100
2023-05-29,6.6,6.6,5.0,5.0,800
2023-05-30,4.5,4.6,4.5,4.5,4400
2023-05-31,4.2,4.3,3.9,3.9,16400
2023-06-01,3.9,3.9,3.4,3.4,96117
2023-06-02,3.7,3.9,3.7,3.9,5800
2023-06-05,3.7,3.7,3.4,3.4,23400
2023-06-06,3.5,3.7,3.5,3.6,15000
