date,open,high,low,close,volume
2024-01-30,7.5,7.7,7.5,7.6,103224
2024-01-31,7.6,7.8,7.6,7.6,369028
2024-02-01,7.6,7.7,7.5,7.6,99911
2024-02-02,7.6,7.7,7.5,7.6,277490
2024-02-05,7.6,7.6,7.5,7.6,200700
2024-02-06,7.6,7.7,7.5,7.6,228229
2024-02-07,7.6,7.7,7.5,7.6,183149
2024-02-15,7.6,7.7,7.6,7.6,172224
2024-02-16,7.7,7.7,7.6,7.6,186725
2024-02-19,7.6,7.7,7.5,7.6,430567
2024-02-20,7.6,7.8,7.6,7.7,554345
2024-02-21,7.7,7.7,7.6,7.6,177680
2024-02-22,7.6,7.8,7.6,7.7,500742
2024-02-23,7.7,8.0,7.7,7.8,1044783
2024-02-26,7.8,8.1,7.7,8.1,1264804
2024-02-27,8.2,8.5,8.2,8.4,1463667
2024-02-28,8.4,8.4,8.1,8.3,594180
2024-02-29,8.3,8.5,8.1,8.1,767191
2024-03-01,8.1,8.4,8.1,8.3,696324
2024-03-04,8.3,8.6,8.3,8.4,735871
2024-03-05,8.4,8.4,8.2,8.4,590090
2024-03-06,8.4,8.6,8.1,8.4,887332
2024-03-07,8.4,9.1,8.3,9.0,2492166
2024-03-08,9.0,9.2,8.7,8.8,937125
2024-03-11,8.9,8.9,8.2,8.3,1027017
2024-03-12,8.3,8.4,8.1,8.4,873064
2024-03-13,8.3,8.9,8.3,8.8,985735
2024-03-14,8.9,8.9,8.6,8.7,913367
2024-03-15,8.7,8.9,8.4,8.6,716710
2024-03-18,8.6,8.8,7.9,8.4,1034433
2024-03-19,8.4,8.5,8.2,8.3,289855
2024-03-20,8.3,8.5,8.3,8.5,190200
2024-03-21,8.5,9.1,8.5,8.9,1550230
2024-03-22,9.0,9.0,8.7,8.8,681494
2024-03-25,8.9,9.0,8.6,8.7,800635
2024-03-26,8.6,8.8,8.5,8.8,319704
2024-03-27,8.8,8.9,8.7,8.7,556209
2024-03-28,8.8,8.9,8.7,8.8,470615
2024-03-29,8.8,8.9,8.6,8.6,742233
2024-04-01,8.6,8.7,8.3,8.6,886872
2024-04-02,8.6,8.6,8.4,8.5,339002
2024-04-03,8.5,8.7,8.4,8.4,853593
2024-04-04,8.4,8.5,8.2,8.2,578499
2024-04-05,8.2,8.3,8.0,8.0,946337
2024-04-08,8.0,8.1,7.9,7.9,286012
2024-04-09,7.9,8.2,7.8,8.1,388379
2024-04-10,8.2,8.2,8.0,8.0,219765
2024-04-11,8.1,8.1,7.8,7.9,374454
2024-04-12,7.9,8.1,7.8,8.0,260556
2024-04-15,8.1,8.1,7.2,7.2,663016
2024-04-16,7.2,7.3,6.9,7.0,837490
2024-04-17,7.1,7.1,6.9,6.9,428534
2024-04-19,6.9,6.9,6.4,6.5,564283
2024-04-22,6.6,7.0,6.6,6.9,333133
2024-04-23,6.9,7.0,6.7,6.8,252638
2024-04-24,6.8,7.3,6.8,7.2,573158
2024-04-25,7.2,7.2,7.0,7.0,183259
2024-04-26,7.0,7.1,6.8,7.1,357376
2024-05-02,7.1,7.2,7.1,7.2,117113
2024-05-03,7.2,7.3,7.1,7.1,153215
2024-05-06,7.2,7.4,7.1,7.3,273013
2024-05-07,7.4,7.5,7.2,7.3,257208
2024-05-08,7.3,7.4,7.1,7.2,257126
2024-05-09,7.2,7.4,7.2,7.2,298411
2024-05-10,7.2,7.3,7.1,7.2,154587
2024-05-13,7.2,7.4,7.1,7.3,516677
2024-05-14,7.3,7.4,7.2,7.2,267960
2024-05-15,7.2,7.4,7.2,7.3,259886
2024-05-16,7.4,7.5,7.2,7.4,463148
2024-05-17,7.3,7.5,7.3,7.5,307865
2024-05-20,7.5,7.7,7.4,7.5,533771
2024-05-21,7.5,7.6,7.4,7.5,265239
2024-05-22,7.5,7.8,7.5,7.6,634794
2024-05-23,7.6,7.6,7.4,7.5,306602
2024-05-24,7.5,7.5,7.2,7.3,490650
2024-05-27,7.3,7.4,7.2,7.3,271873
2024-05-28,7.3,7.6,7.3,7.5,296493
2024-05-29,7.5,7.5,7.4,7.5,420550
2024-05-30,7.4,7.5,7.3,7.5,273211
2024-05-31,7.5,7.5,7.4,7.4,298337
2024-06-03,7.5,7.6,7.4,7.5,272925
2024-06-04,7.5,7.6,7.5,7.5,363408
2024-06-05,7.5,7.6,7.4,7.4,200241
2024-06-06,7.4,7.5,7.4,7.4,452351
2024-06-07,7.5,7.6,7.4,7.5,200516
2024-06-10,7.6,7.6,7.4,7.5,236772
2024-06-11,7.5,7.6,7.4,7.6,447150
2024-06-12,7.6,8.3,7.6,8.3,2969298
2024-06-13,8.4,8.6,8.1,8.2,476706
2024-06-14,8.2,8.3,7.6,7.6,1392700
2024-06-17,7.7,7.9,7.6,7.7,400712
2024-06-18,7.7,7.8,7.6,7.6,345232
2024-06-19,7.7,7.7,7.4,7.5,603648
2024-06-20,7.5,7.6,7.3,7.4,808923
2024-06-21,7.4,7.5,7.3,7.5,427667
2024-06-24,7.5,7.5,7.1,7.2,771625
2024-06-25,7.1,7.3,7.1,7.2,270701
2024-06-26,7.2,7.4,7.1,7.2,234303
2024-06-27,7.3,7.3,7.1,7.1,147520
2024-06-28,7.2,7.3,7.1,7.2,241901
2024-07-01,7.2,7.3,7.1,7.3,95206
2024-07-02,7.3,7.4,7.2,7.3,206010
2024-07-03,7.4,7.4,7.2,7.3,126100
2024-07-04,7.3,7.4,7.3,7.4,115401
2024-07-05,7.3,7.3,7.2,7.3,187052
2024-07-08,7.3,7.4,7.2,7.3,125871
2024-07-09,7.3,7.4,7.2,7.4,240027
2024-07-10,7.4,7.5,7.3,7.3,160339
2024-07-11,7.4,7.6,7.3,7.5,394642
2024-07-12,7.5,7.6,7.4,7.4,139516
2024-07-15,7.4,7.6,7.4,7.5,309089
2024-07-16,7.6,7.6,7.4,7.5,188675
2024-07-17,7.6,7.6,7.3,7.4,304813
2024-07-18,7.4,7.4,7.2,7.4,351000
2024-07-19,7.3,7.4,7.1,7.2,477200
2024-07-22,7.2,7.3,7.1,7.3,384205
2024-07-23,7.4,7.5,7.3,7.3,269881
2024-07-24,7.2,7.4,7.1,7.3,327380
2024-07-25,7.2,7.3,7.2,7.2,81800
2024-07-26,7.3,7.3,7.2,7.2,72200
2024-07-29,7.2,7.3,7.2,7.2,199100
2024-07-30,7.2,7.2,7.1,7.2,59800
2024-07-31,7.2,7.2,7.1,7.1,159500
2024-08-01,7.2,7.2,6.7,6.8,384900
2024-08-02,6.8,6.9,6.6,6.8,168800
2024-08-05,6.8,6.8,6.4,6.6,209700
2024-08-06,6.6,6.8,6.5,6.7,165000
2024-08-07,6.8,6.8,6.6,6.7,50500
2024-08-08,6.7,6.8,6.7,6.7,107200
2024-08-09,6.7,7.0,6.7,6.9,227800
2024-08-12,7.0,7.0,6.9,6.9,41000
2024-08-13,6.9,7.0,6.8,7.0,57500
2024-08-14,7.0,7.0,6.8,6.8,23100
2024-08-15,6.9,6.9,6.7,6.7,67900
2024-08-16,6.8,7.2,6.7,7.1,259100
2024-08-19,7.2,7.2,7.0,7.1,117800
2024-08-20,7.1,7.1,7.0,7.1,205600
2024-08-21,7.1,7.1,7.0,7.1,267400
2024-08-22,7.0,7.2,7.0,7.2,101000
2024-08-23,7.2,7.2,7.0,7.1,125700
2024-08-26,7.2,7.2,7.1,7.1,110700
2024-08-27,7.2,7.2,7.0,7.0,181800
2024-08-28,7.0,7.1,6.9,7.0,60800
2024-08-29,7.0,7.1,6.9,6.9,108700
2024-08-30,6.9,6.9,6.8,6.9,66300
2024-09-04,6.9,6.9,6.8,6.8,145100
2024-09-05,6.8,7.0,6.8,6.8,135900
2024-09-06,6.8,6.8,6.7,6.8,74700
2024-09-09,6.8,6.8,6.7,6.8,19100
2024-09-10,6.7,6.8,6.7,6.7,65400
2024-09-11,6.6,6.7,6.6,6.6,49200
2024-09-12,6.7,6.7,6.6,6.7,28600
2024-09-13,6.7,6.8,6.6,6.8,69000
2024-09-16,6.7,6.8,6.6,6.7,63000
2024-09-17,6.7,6.8,6.7,6.7,27100
2024-09-18,6.8,6.9,6.7,6.8,83800
2024-09-19,6.8,6.9,6.8,6.8,89400
2024-09-20,6.8,6.9,6.8,6.8,75800
2024-09-23,6.8,6.8,6.7,6.8,19800
2024-09-24,6.7,6.8,6.7,6.7,79300
2024-09-25,6.8,6.9,6.7,6.8,121000
2024-09-26,6.8,6.9,6.8,6.9,39800
2024-09-27,6.9,6.9,6.8,6.9,152800
2024-09-30,6.9,6.9,6.7,6.8,105800
2024-10-01,6.8,7.2,6.8,7.1,411100
2024-10-02,7.0,7.1,6.9,6.9,125900
2024-10-03,6.9,6.9,6.8,6.8,274500
2024-10-04,6.9,6.9,6.7,6.8,71600
2024-10-07,6.8,6.8,6.7,6.8,140100
2024-10-08,6.7,6.8,6.7,6.7,104600
2024-10-09,6.7,6.8,6.6,6.7,148200
2024-10-10,6.7,6.8,6.7,6.8,75100
2024-10-11,6.7,6.8,6.6,6.7,36800
2024-10-14,6.7,6.7,6.6,6.7,52100
2024-10-15,6.7,6.7,6.6,6.6,95200
2024-10-16,6.6,6.7,6.6,6.6,46100
2024-10-17,6.6,6.7,6.5,6.6,88100
2024-10-18,6.6,6.7,6.6,6.6,151400
2024-10-21,6.5,6.6,6.3,6.4,169200
2024-10-22,6.4,6.4,6.3,6.3,178400
2024-10-23,6.4,6.4,6.2,6.4,133300
2024-10-24,6.3,6.4,6.2,6.2,82000
2024-10-25,6.2,6.3,6.1,6.2,97100
2024-10-28,6.2,6.2,6.1,6.1,52400
2024-10-29,6.0,6.2,6.0,6.2,146400
2024-10-30,6.2,6.2,6.1,6.2,24600
2024-10-31,6.0,6.2,6.0,6.2,89500
2024-11-01,6.1,6.1,6.0,6.1,41000
2024-11-04,6.1,6.1,5.9,5.9,57800
2024-11-05,6.0,6.1,6.0,6.0,93300
2024-11-06,6.1,6.1,6.0,6.1,46300
2024-11-07,6.2,6.2,6.0,6.1,64000
2024-11-08,6.0,6.1,6.0,6.0,13400
2024-11-11,5.9,6.1,5.9,6.0,97900
2024-11-12,6.0,6.1,6.0,6.0,53300
2024-11-13,6.0,6.0,5.9,6.0,22800
2024-11-14,5.9,6.0,5.8,5.9,89600
2024-11-15,5.8,5.9,5.6,5.6,109000
2024-11-18,5.7,5.8,5.5,5.6,104900
2024-11-19,5.7,5.7,5.5,5.5,39900
2024-11-20,5.5,5.7,5.5,5.6,73100
2024-11-21,5.6,5.6,5.5,5.6,42200
2024-11-22,5.6,5.6,5.4,5.4,132600
2024-11-25,5.4,5.5,5.4,5.4,58500
2024-11-26,5.4,5.7,5.4,5.5,102700
2024-11-27,5.6,5.6,5.5,5.6,48500
2024-11-28,5.5,5.6,5.5,5.5,46700
2024-11-29,5.6,5.6,5.5,5.6,17700
2024-12-02,5.6,5.6,5.5,5.5,44300
2024-12-03,5.5,5.6,5.4,5.6,24700
2024-12-04,5.6,5.6,5.4,5.5,24500
2024-12-05,5.5,5.9,5.5,5.9,301100
2024-12-06,5.9,6.0,5.7,5.7,127600
2024-12-09,5.7,5.8,5.7,5.8,75100
2024-12-10,5.8,5.9,5.7,5.7,46200
2024-12-11,5.8,5.8,5.7,5.7,34900
2024-12-12,5.8,5.8,5.7,5.7,47300
2024-12-13,5.7,5.8,5.3,5.6,177900
2024-12-16,5.6,5.6,5.5,5.6,69100
2024-12-17,5.6,5.7,5.5,5.7,36900
2024-12-18,5.6,5.7,5.6,5.6,40700
2024-12-19,5.6,5.6,5.5,5.5,51600
2024-12-20,5.5,5.7,5.5,5.7,90800
2024-12-23,5.7,6.2,5.7,6.0,431500
2024-12-24,6.1,6.1,5.8,5.9,84400
2024-12-25,5.9,6.1,5.9,6.0,263400
2024-12-26,6.0,6.0,5.9,6.0,75000
2024-12-27,6.0,6.0,5.8,6.0,75900
2024-12-30,6.0,6.0,5.5,5.8,154700
2024-12-31,5.7,5.8,5.6,5.8,68600
2025-01-02,5.8,5.8,5.7,5.7,19400
2025-01-03,5.7,5.7,5.6,5.6,74700
2025-01-06,5.6,5.7,5.5,5.6,88200
2025-01-07,5.6,5.6,5.5,5.6,80200
2025-01-08,5.6,5.7,5.6,5.7,25800
2025-01-09,5.6,5.7,5.6,5.7,36000
2025-01-10,5.7,5.7,5.5,5.5,78900
2025-01-13,5.5,5.6,5.4,5.5,80000
2025-01-14,5.6,5.6,5.4,5.5,27200
2025-01-15,5.5,5.6,5.5,5.6,9700
2025-01-16,5.6,6.0,5.6,5.8,184600
2025-01-17,5.7,5.8,5.7,5.7,42400
2025-01-20,5.8,5.8,5.6,5.7,55900
2025-01-21,5.6,5.7,5.5,5.6,297700
2025-01-22,5.6,5.6,5.5,5.5,33300
2025-01-23,5.5,5.6,5.5,5.6,64800
2025-01-24,5.6,5.6,5.5,5.6,83800
2025-02-03,5.6,5.6,5.5,5.6,64500
2025-02-04,5.6,5.7,5.5,5.6,193800
2025-02-05,5.7,5.8,5.6,5.7,113700
2025-02-06,5.7,5.8,5.6,5.7,183100
2025-02-07,5.8,5.8,5.7,5.7,90800
2025-02-10,5.7,5.8,5.7,5.7,111500
2025-02-11,5.7,5.9,5.7,5.8,163400
2025-02-12,5.9,6.3,5.9,6.2,702400
2025-02-13,6.2,6.3,6.0,6.1,185000
2025-02-14,6.1,6.2,6.0,6.1,303900
2025-02-17,6.2,6.4,6.1,6.2,338600
2025-02-18,6.2,6.3,6.1,6.2,206500
2025-02-19,6.2,6.2,6.1,6.2,238500
2025-02-20,6.2,6.3,6.1,6.1,210300
2025-02-21,6.1,6.2,6.0,6.1,123700
2025-02-24,6.1,6.2,6.0,6.2,419100
2025-02-25,6.2,6.5,6.2,6.3,526700
2025-02-26,6.3,6.4,6.2,6.2,395700
2025-02-27,6.3,6.4,6.1,6.3,383500
2025-02-28,6.3,6.4,6.2,6.3,284800
2025-03-03,6.3,6.3,6.2,6.2,230600
2025-03-04,6.2,6.2,6.1,6.2,137500
2025-03-05,6.1,6.3,6.1,6.1,300700
2025-03-06,6.1,6.3,6.1,6.3,270200
2025-03-07,6.3,6.4,6.2,6.3,249900
2025-03-10,6.2,6.3,6.2,6.2,173200
2025-03-11,6.2,6.2,6.1,6.1,209300
2025-03-12,6.1,6.3,6.1,6.3,285500
2025-03-13,6.3,6.4,6.2,6.3,366600
2025-03-14,6.2,6.4,6.2,6.3,194200
2025-03-17,6.3,6.3,6.2,6.3,131200
2025-03-18,6.3,6.4,6.2,6.3,251300
2025-03-19,6.3,6.9,6.3,6.9,1945100
2025-03-20,7.0,7.4,6.6,7.2,1522000
2025-03-21,7.4,7.4,7.0,7.1,428600
2025-03-24,7.1,7.8,6.9,7.5,1148900
2025-03-25,7.6,7.9,7.5,7.6,888500
2025-03-26,7.7,7.8,7.5,7.6,536300
2025-03-27,7.6,7.6,7.4,7.5,219500
2025-03-28,7.5,7.5,7.3,7.4,372400
2025-03-31,7.3,7.4,7.1,7.3,294600
2025-04-01,7.3,7.4,7.3,7.4,55600
2025-04-02,7.4,7.5,7.2,7.4,60400
2025-04-03,7.4,7.4,6.7,6.7,538700
2025-04-04,6.5,6.5,6.1,6.5,505100
2025-04-08,6.3,6.3,5.9,5.9,260100
2025-04-09,5.4,5.9,5.4,5.6,167400
2025-04-10,5.7,6.1,5.7,6.1,34900
2025-04-11,6.3,6.7,6.1,6.6,392900
2025-04-14,6.6,6.8,6.4,6.8,221900
2025-04-15,6.8,6.8,6.5,6.5,119100
2025-04-16,6.5,6.6,6.2,6.4,151100
2025-04-17,6.2,6.4,6.2,6.4,125300
2025-04-18,6.6,6.7,6.4,6.5,130800
2025-04-21,6.2,6.5,6.2,6.4,137000
2025-04-22,6.4,6.4,5.8,6.2,585600
2025-04-23,6.2,6.8,6.2,6.8,739800
2025-04-24,7.3,7.4,7.3,7.4,775500
2025-04-25,7.6,8.1,7.6,8.1,2345200
2025-04-28,8.9,8.9,7.8,7.8,641800
2025-04-29,8.0,8.2,7.8,8.0,320900
2025-05-05,8.0,8.0,7.8,7.9,179500
2025-05-06,7.9,8.0,7.9,7.9,211200
2025-05-07,7.9,7.9,7.2,7.5,1278700
2025-05-08,7.6,7.8,7.6,7.7,113900
2025-05-09,7.7,7.8,7.5,7.7,80400
2025-05-12,7.7,7.8,7.5,7.8,122300
2025-05-13,7.7,7.8,7.1,7.5,193000
2025-05-14,7.5,7.5,7.2,7.4,167800
2025-05-15,7.4,7.5,6.8,7.1,940500
2025-05-16,7.1,7.2,6.9,7.1,745700
2025-05-19,6.9,7.0,6.4,6.5,1362200
2025-05-20,6.5,6.7,6.4,6.5,438500
2025-05-21,6.6,6.6,6.4,6.5,498000
2025-05-22,6.5,6.7,6.4,6.5,493100
2025-05-23,6.6,6.6,6.4,6.5,244400
2025-05-26,6.5,6.7,6.4,6.7,272100
