date,open,high,low,close,volume
2023-10-30,22.33,22.33,22.33,22.33,0
2023-10-31,22.33,22.33,22.33,22.33,0
2023-11-01,22.33,22.33,22.33,22.33,0
2023-11-02,19.65,19.65,19.65,19.65,202
2023-11-03,19.65,19.65,19.65,19.65,0
2023-11-06,17.86,17.86,17.86,17.86,700
2023-11-07,19.2,19.2,19.2,19.2,200
2023-11-08,19.2,19.2,19.2,19.2,1
2023-11-09,17.95,20.54,17.95,20.54,300
2023-11-10,18.75,18.75,16.7,16.7,1700
2023-11-13,17.06,17.06,17.06,17.06,100
2023-11-14,17.06,17.06,17.06,17.06,200
2023-11-15,19.2,19.2,19.2,19.2,2001
2023-11-16,19.2,19.2,19.2,19.2,0
2023-11-17,16.97,17.06,16.97,17.06,600
2023-11-20,16.97,16.97,16.97,16.97,0
2023-11-21,16.97,16.97,16.97,16.97,10
2023-11-22,17.95,17.95,17.95,17.95,101
2023-11-23,17.06,17.06,17.06,17.06,200
2023-11-24,16.61,16.61,16.61,16.61,200
2023-11-27,17.24,17.24,17.15,17.15,300
2023-11-28,17.15,17.15,17.15,17.15,0
2023-11-29,17.15,17.15,17.15,17.15,0
2023-11-30,17.86,17.86,17.77,17.86,400
2023-12-01,16.79,16.79,16.79,16.79,200
2023-12-04,16.79,16.79,16.79,16.79,0
2023-12-05,16.79,16.79,16.79,16.79,0
2023-12-06,16.79,16.79,16.79,16.79,0
2023-12-07,16.79,16.79,16.79,16.79,0
2023-12-08,17.06,17.06,17.06,17.06,300
2023-12-11,17.86,17.86,17.86,17.86,200
2023-12-12,17.86,17.86,17.86,17.86,0
2023-12-13,17.86,17.86,17.86,17.86,0
2023-12-14,17.86,17.86,17.86,17.86,0
2023-12-15,17.86,17.86,17.86,17.86,0
2023-12-18,17.86,17.86,17.86,17.86,200
2023-12-19,17.86,17.86,17.86,17.86,0
2023-12-20,18.66,18.66,18.66,18.66,200
2023-12-21,18.66,18.66,18.66,18.66,0
2023-12-22,18.66,18.66,18.66,18.66,0
