date,open,high,low,close,volume
2023-10-24,15.15,15.15,15.15,15.15,0
2023-10-25,15.15,15.15,15.15,15.15,0
2023-10-26,13.82,14.01,13.82,13.92,1100
2023-10-27,13.92,13.92,13.92,13.92,90
2023-10-30,14.2,14.2,14.11,14.2,600
2023-10-31,14.2,14.2,13.07,13.07,1002
2023-11-01,14.2,14.2,12.02,14.11,508
2023-11-02,13.44,13.44,13.35,13.35,300
2023-11-03,14.49,14.49,14.49,14.49,340
2023-11-06,13.54,14.2,13.26,14.2,5100
2023-11-07,13.63,13.63,13.63,13.63,100
2023-11-08,13.63,13.63,13.63,13.63,1
2023-11-09,13.73,13.73,13.73,13.73,100
2023-11-10,12.59,14.2,12.59,14.01,4500
2023-11-13,14.2,14.2,14.2,14.2,155
2023-11-14,14.2,14.2,12.97,12.97,427
2023-11-15,13.63,14.2,13.63,14.2,2800
2023-11-16,13.73,14.3,13.73,14.3,500
2023-11-17,14.3,14.3,14.3,14.3,46
2023-11-20,14.2,14.2,13.63,13.63,300
2023-11-21,13.82,13.92,13.35,13.35,2679
2023-11-22,13.35,13.35,13.35,13.35,3
2023-11-23,13.35,13.35,13.35,13.35,0
2023-11-24,13.54,13.54,13.54,13.54,3000
2023-11-27,13.54,13.54,13.54,13.54,0
2023-11-28,12.5,13.35,12.5,13.35,200
2023-11-29,13.54,14.39,13.54,14.39,500
2023-11-30,14.39,14.39,14.39,14.39,0
2023-12-01,13.63,13.82,13.63,13.82,200
2023-12-04,14.01,14.01,13.63,13.63,232
2023-12-05,12.69,13.73,12.69,13.44,310
2023-12-06,13.44,13.44,13.44,13.44,0
2023-12-07,14.01,14.01,13.73,13.73,2400
2023-12-08,13.73,13.73,13.73,13.73,0
2023-12-11,13.73,13.73,13.73,13.73,0
2023-12-12,13.73,13.73,13.73,13.73,0
2023-12-13,13.73,13.73,13.73,13.73,0
2023-12-14,12.69,12.69,12.69,12.69,104
2023-12-15,13.92,13.92,12.02,13.92,10200
2023-12-18,14.2,15.05,14.2,15.05,6106
2023-12-19,15.05,15.72,14.49,15.72,15401
2023-12-20,16.57,16.57,16.57,16.57,5000
2023-12-21,16.47,16.85,16.47,16.85,15500
2023-12-22,16.47,16.47,16.47,16.47,8500
2023-12-25,16.76,16.76,16.76,16.76,10500
2023-12-26,17.14,17.14,17.14,17.14,32000
2023-12-27,15.72,17.52,15.72,17.52,37506
2023-12-28,16.57,17.8,16.57,17.8,103405
2023-12-29,16.57,17.89,16.57,17.89,68100
2024-01-02,17.89,17.89,17.89,17.89,0
2024-01-03,17.89,17.89,17.89,17.89,0
2024-01-04,17.89,17.89,17.89,17.89,0
2024-01-05,17.89,17.89,17.89,17.89,0
2024-01-08,17.89,17.89,17.89,17.89,0
2024-01-09,17.89,17.89,17.89,17.89,22
2024-01-10,17.89,17.89,17.89,17.89,0
2024-01-11,17.89,17.89,17.89,17.89,0
