date,open,high,low,close,volume
2024-01-12,10.44,10.44,10.44,10.44,500
2024-01-15,10.44,10.44,10.44,10.44,0
2024-01-16,10.44,10.44,10.44,10.44,0
2024-01-17,10.44,10.44,10.44,10.44,0
2024-01-18,10.44,10.44,10.44,10.44,0
2024-01-19,10.44,10.44,10.44,10.44,0
2024-01-22,10.44,10.44,10.44,10.44,0
2024-01-23,10.44,10.44,10.44,10.44,0
2024-01-24,10.44,10.44,10.44,10.44,0
2024-01-25,10.44,10.44,10.44,10.44,0
2024-01-26,10.44,10.44,10.44,10.44,0
2024-01-29,10.44,10.44,10.44,10.44,0
2024-01-30,10.44,10.44,10.44,10.44,0
2024-01-31,10.44,10.44,10.44,10.44,0
2024-02-01,10.44,10.44,10.44,10.44,0
2024-02-02,10.65,10.65,10.65,10.65,100
2024-02-05,10.65,10.65,10.65,10.65,0
2024-02-06,10.65,10.65,10.65,10.65,0
2024-02-07,10.65,10.65,10.65,10.65,0
2024-02-15,11.36,11.36,11.36,11.36,100
2024-02-16,11.36,11.36,11.36,11.36,0
2024-02-19,11.36,11.36,11.36,11.36,0
2024-02-20,11.36,11.36,11.36,11.36,0
2024-02-21,11.36,11.36,11.36,11.36,0
2024-02-22,11.36,11.36,11.36,11.36,0
2024-02-23,11.36,11.36,11.36,11.36,0
2024-02-26,11.36,11.36,11.36,11.36,0
2024-02-27,11.36,11.36,11.36,11.36,0
2024-02-28,11.36,11.36,11.36,11.36,0
2024-02-29,11.36,11.36,11.36,11.36,0
2024-03-01,11.36,11.36,11.36,11.36,0
2024-03-04,11.36,11.36,11.36,11.36,0
2024-03-05,11.36,11.36,11.36,11.36,0
2024-03-06,11.36,11.36,11.36,11.36,0
2024-03-07,11.36,11.36,11.36,11.36,0
2024-03-08,11.36,11.36,11.36,11.36,0
2024-03-11,11.36,11.36,11.36,11.36,0
2024-03-12,11.36,11.36,11.36,11.36,0
2024-03-13,11.36,11.36,11.36,11.36,0
2024-03-14,11.36,11.36,11.36,11.36,0
2024-03-15,11.36,11.36,11.36,11.36,0
2024-03-18,11.36,11.36,11.36,11.36,0
2024-03-19,11.36,11.36,11.36,11.36,0
2024-03-20,11.36,11.36,11.36,11.36,0
2024-03-21,11.36,11.36,11.36,11.36,0
2024-03-22,11.36,11.36,11.36,11.36,0
2024-03-25,11.36,11.36,11.36,11.36,100
2024-03-26,11.36,11.36,11.36,11.36,0
2024-03-27,11.36,11.36,11.36,11.36,0
2024-03-28,11.36,11.36,11.36,11.36,0
