date,open,high,low,close,volume
2023-03-13,30.91,30.91,30.91,30.91,0
2023-03-14,30.91,30.91,30.91,30.91,0
2023-03-15,30.91,30.91,30.91,30.91,0
2023-03-16,30.91,30.91,26.33,26.33,1900
2023-03-17,27.32,27.32,27.32,27.32,0
2023-03-20,27.32,27.32,27.32,27.32,0
2023-03-21,27.32,27.32,27.32,27.32,0
2023-03-22,27.32,27.32,27.32,27.32,0
2023-03-23,25.0,25.0,25.0,25.0,100
2023-03-24,25.0,25.0,25.0,25.0,0
2023-03-27,25.0,25.0,25.0,25.0,0
2023-03-28,25.0,25.0,25.0,25.0,0
2023-03-29,25.0,25.0,25.0,25.0,0
2023-03-30,25.0,25.0,25.0,25.0,0
2023-03-31,25.0,25.0,25.0,25.0,0
2023-04-03,25.0,25.0,25.0,25.0,0
2023-04-04,25.0,25.0,25.0,25.0,0
2023-04-05,25.0,25.0,25.0,25.0,0
2023-04-06,25.0,25.0,25.0,25.0,0
2023-04-07,25.0,25.0,25.0,25.0,0
2023-04-10,25.0,25.0,25.0,25.0,0
2023-04-11,25.0,25.0,25.0,25.0,0
2023-04-12,25.0,25.0,25.0,25.0,0
2023-04-13,25.0,25.0,25.0,25.0,0
2023-04-14,25.0,25.0,25.0,25.0,0
2023-04-17,25.0,25.0,25.0,25.0,0
2023-04-18,25.0,25.0,25.0,25.0,0
2023-04-19,25.0,25.0,25.0,25.0,0
2023-04-20,25.0,25.0,25.0,25.0,0
2023-04-21,25.0,25.0,25.0,25.0,0
2023-04-24,25.0,25.0,25.0,25.0,0
2023-04-25,26.05,28.73,21.26,25.0,900
2023-04-26,26.9,26.9,26.9,26.9,0
2023-04-27,26.9,26.9,26.9,26.9,0
2023-04-28,30.84,30.84,30.84,30.84,100
2023-05-04,30.84,30.84,30.84,30.84,0
2023-05-05,30.84,30.84,30.84,30.84,0
2023-05-08,28.45,28.45,28.45,28.45,100
2023-05-09,28.45,28.45,28.45,28.45,0
2023-05-10,28.45,28.45,28.45,28.45,0
2023-05-11,28.45,28.45,28.45,28.45,0
2023-05-12,28.45,28.45,28.45,28.45,0
2023-05-15,28.45,28.45,28.45,28.45,0
2023-05-16,28.45,28.45,28.45,28.45,0
2023-05-17,28.45,28.45,28.45,28.45,0
2023-05-18,28.45,28.45,28.45,28.45,0
2023-05-19,28.45,28.45,28.45,28.45,0
2023-05-22,28.45,28.45,28.45,28.45,0
2023-05-23,28.45,28.45,28.45,28.45,0
2023-05-24,28.45,28.45,28.45,28.45,0
2023-05-25,28.45,28.45,28.45,28.45,0
2023-05-26,28.45,28.45,28.45,28.45,0
2023-05-29,28.45,28.45,28.45,28.45,0
2023-05-30,28.45,28.45,28.45,28.45,0
2023-05-31,28.45,28.45,28.45,28.45,0
2023-06-01,28.45,28.45,28.45,28.45,0
2023-06-02,28.45,28.45,28.45,28.45,0
2023-06-05,28.45,28.45,28.45,28.45,0
2023-06-06,28.45,28.45,28.45,28.45,0
2023-06-07,28.45,28.45,28.45,28.45,0
2023-06-08,28.45,28.45,28.45,28.45,0
2023-06-09,28.45,28.45,28.45,28.45,0
2023-06-12,28.45,28.45,28.45,28.45,0
2023-06-13,28.45,28.45,28.45,28.45,0
2023-06-14,28.45,28.45,28.45,28.45,0
2023-06-15,28.45,28.45,28.45,28.45,0
2023-06-16,28.45,28.45,28.45,28.45,0
2023-06-19,28.45,28.45,28.45,28.45,0
2023-06-20,28.45,28.45,28.45,28.45,0
2023-06-21,28.45,28.45,28.45,28.45,0
2023-06-22,28.45,28.45,28.45,28.45,0
2023-06-23,28.45,28.45,28.45,28.45,0
2023-06-26,28.45,28.45,28.45,28.45,0
2023-06-27,28.45,28.45,28.45,28.45,0
2023-06-28,28.45,28.45,28.45,28.45,0
2023-06-29,28.87,36.47,28.87,36.47,500
2023-06-30,30.91,30.91,30.91,30.91,0
2023-07-03,30.91,30.91,30.91,30.91,0
2023-07-04,30.91,30.91,30.91,30.91,0
2023-07-05,30.91,30.91,30.91,30.91,0
2023-07-06,30.91,30.91,30.91,30.91,0
2023-07-07,30.91,30.91,30.91,30.91,0
2023-07-10,30.91,30.91,30.91,30.91,0
2023-07-11,30.91,30.91,30.91,30.91,0
2023-07-12,30.91,30.91,30.91,30.91,0
2023-07-13,30.91,30.91,30.91,30.91,0
2023-07-14,30.91,30.91,30.91,30.91,0
2023-07-17,30.91,30.91,30.91,30.91,0
2023-07-18,30.91,30.91,30.91,30.91,0
2023-07-19,30.91,30.91,30.91,30.91,0
2023-07-20,30.91,30.91,30.91,30.91,0
2023-07-21,30.91,30.91,30.91,30.91,0
2023-07-24,30.91,30.91,30.91,30.91,0
2023-07-25,30.91,30.91,30.91,30.91,0
2023-07-26,30.91,30.91,30.91,30.91,0
2023-07-27,30.91,30.91,30.91,30.91,0
2023-07-28,30.91,30.91,30.91,30.91,0
2023-07-31,26.4,26.4,26.4,26.4,300
2023-08-01,26.4,26.4,26.4,26.4,0
2023-08-02,27.46,27.46,27.46,27.46,100
2023-08-03,27.46,27.46,27.46,27.46,0
2023-08-04,27.46,27.46,27.46,27.46,0
2023-08-07,27.46,27.46,27.46,27.46,0
2023-08-08,27.46,27.46,27.46,27.46,0
2023-08-09,27.46,27.46,27.46,27.46,0
2023-08-10,29.22,29.22,29.22,29.22,100
2023-08-11,29.22,29.22,29.22,29.22,0
2023-08-14,29.22,29.22,29.22,29.22,0
2023-08-15,29.22,29.22,29.22,29.22,0
2023-08-16,29.22,29.22,29.22,29.22,0
2023-08-17,29.22,29.22,29.22,29.22,0
2023-08-18,29.22,29.22,29.22,29.22,0
2023-08-21,29.22,29.22,29.22,29.22,0
2023-08-22,29.22,29.22,29.22,29.22,0
2023-08-23,29.22,29.22,29.22,29.22,0
2023-08-24,29.22,29.22,29.22,29.22,0
2023-08-25,29.22,29.22,29.22,29.22,0
2023-08-28,29.22,29.22,29.22,29.22,0
2023-08-29,29.22,29.22,29.22,29.22,0
