date,open,high,low,close,volume
2024-01-16,22.14,22.14,22.14,22.14,0
2024-01-17,22.51,22.51,22.51,22.51,219
2024-01-18,21.59,21.59,20.67,20.67,1000
2024-01-19,22.74,22.74,22.74,22.74,200
2024-01-22,22.74,22.74,22.74,22.74,0
2024-01-23,22.74,22.74,22.74,22.74,200
2024-01-24,22.7,22.7,22.7,22.7,400
2024-01-25,22.7,22.7,22.7,22.7,0
2024-01-26,22.7,22.7,22.7,22.7,0
2024-01-29,22.7,22.7,21.5,21.5,5100
2024-01-30,21.23,22.51,21.23,22.51,866
2024-01-31,22.83,22.83,22.51,22.51,800
2024-02-01,22.51,22.51,22.51,22.51,10
2024-02-02,22.51,22.51,22.51,22.51,20139
2024-02-05,22.51,22.51,22.51,22.51,0
2024-02-06,22.51,22.51,22.51,22.51,66
2024-02-07,22.51,22.51,22.51,22.51,0
2024-02-15,22.51,22.51,22.51,22.51,0
2024-02-16,21.0,21.27,21.0,21.27,3183
2024-02-19,21.27,21.27,21.27,21.27,15000
2024-02-20,21.27,21.27,21.27,21.27,0
2024-02-21,21.27,21.27,21.27,21.27,100
2024-02-22,21.27,21.27,21.27,21.27,0
2024-02-23,20.67,21.27,20.67,21.27,400
2024-02-26,21.27,21.27,21.27,21.27,0
2024-02-27,21.27,21.27,21.27,21.27,0
2024-02-28,21.27,21.27,21.27,21.27,0
2024-02-29,21.27,21.27,21.27,21.27,10
2024-03-01,21.27,21.27,21.27,21.27,0
2024-03-04,21.27,21.27,21.27,21.27,1
2024-03-05,21.27,21.27,21.27,21.27,200
2024-03-06,21.27,21.27,21.27,21.27,0
2024-03-07,21.27,21.27,21.27,21.27,100
2024-03-08,21.27,21.27,21.27,21.27,0
2024-03-11,22.83,22.83,20.08,20.08,14500
2024-03-12,20.08,20.08,20.08,20.08,100
2024-03-13,20.08,20.08,20.08,20.08,0
2024-03-14,20.08,20.08,20.08,20.08,0
2024-03-15,19.3,21.92,19.3,21.92,200
2024-03-18,21.5,21.5,21.5,21.5,200
2024-03-19,21.09,21.09,21.09,21.09,100
2024-03-20,20.86,20.86,20.86,20.86,1601
2024-03-21,20.81,20.81,20.63,20.63,700
2024-03-22,19.3,20.49,18.84,20.49,9200
2024-03-25,20.49,20.49,20.49,20.49,0
2024-03-26,18.93,19.3,18.47,18.61,13000
2024-03-27,19.25,19.25,19.2,19.2,2600
2024-03-28,19.3,19.3,18.19,18.19,2857
2024-03-29,19.43,19.43,17.18,17.18,10200
2024-04-01,18.7,18.7,16.63,16.63,8000
2024-04-02,16.26,18.15,16.26,18.15,200
2024-04-03,18.93,18.93,16.72,16.72,200
2024-04-04,18.29,18.29,15.85,18.06,10726
2024-04-05,18.06,18.06,18.06,18.06,0
2024-04-08,18.06,18.06,18.06,18.06,0
2024-04-09,18.06,18.06,18.06,18.06,0
2024-04-10,18.06,18.06,18.06,18.06,0
2024-04-11,19.62,19.62,19.62,19.62,101
2024-04-12,17.73,19.11,17.69,18.75,1068
2024-04-15,16.91,17.92,16.91,16.91,6170
2024-04-16,18.24,18.24,18.24,18.24,105
2024-04-17,16.91,16.91,16.49,16.49,1100
2024-04-19,16.54,17.83,16.31,16.31,2103
2024-04-22,17.83,17.83,16.31,17.55,2106
2024-04-23,17.55,17.55,17.55,17.55,0
2024-04-24,17.55,17.55,17.55,17.55,0
2024-04-25,18.84,18.84,16.63,18.19,300
2024-04-26,16.63,16.63,16.63,16.63,200
2024-05-02,16.59,18.01,16.59,18.01,200
2024-05-03,17.92,17.92,17.92,17.92,100
2024-05-06,16.13,18.24,16.13,18.24,220
2024-05-07,19.07,19.07,19.07,19.07,100
2024-05-08,18.65,18.65,17.18,18.15,16422
2024-05-09,18.15,18.15,18.15,18.15,20
2024-05-10,17.92,19.57,17.23,19.57,4312
2024-05-13,19.25,19.34,17.64,18.06,6736
2024-05-14,17.69,17.69,17.69,17.69,1000
2024-05-15,16.63,16.63,16.59,16.59,266
2024-05-16,18.15,18.15,17.69,17.69,1100
2024-05-17,17.69,17.69,17.69,17.69,1325
2024-05-20,17.5,17.6,17.5,17.5,1444
2024-05-21,17.87,17.87,17.87,17.87,107
2024-05-22,17.87,17.87,17.87,17.87,20
2024-05-23,17.87,17.87,17.83,17.83,300
2024-05-24,17.83,17.83,17.83,17.83,100
2024-05-27,17.83,18.1,16.77,18.1,1305
2024-05-28,17.69,17.69,17.69,17.69,900
2024-05-29,17.69,18.19,17.69,18.19,2500
2024-05-30,17.73,17.73,17.73,17.73,100
2024-05-31,17.78,17.78,17.73,17.73,1000
2024-06-03,17.73,17.73,17.73,17.73,2291
2024-06-04,17.83,17.92,17.78,17.92,538
2024-06-05,18.15,19.48,18.15,19.07,4904
2024-06-06,19.71,19.71,19.53,19.53,4284
2024-06-07,19.07,19.07,19.07,19.07,100
2024-06-10,19.48,19.48,19.3,19.3,1639
2024-06-11,19.3,19.3,18.61,18.61,1611
2024-06-12,19.43,19.43,19.43,19.43,100
2024-06-13,19.43,19.43,19.43,19.43,19
2024-06-14,19.43,19.43,19.34,19.34,300
2024-06-17,19.34,19.34,19.34,19.34,0
2024-06-18,17.92,17.92,17.6,17.92,110575
2024-06-19,18.19,19.25,17.92,19.25,40797
2024-06-20,20.22,20.22,18.15,18.19,11635
2024-06-21,18.38,18.84,18.15,18.24,12728
2024-06-24,18.19,18.61,18.19,18.29,5949
2024-06-25,18.33,18.61,18.29,18.56,7830
2024-06-26,20.22,20.22,18.38,18.42,2880
2024-06-27,18.42,18.75,18.29,18.33,5633
2024-06-28,18.33,18.47,18.33,18.38,7522
2024-07-01,18.38,18.38,18.38,18.38,4847
2024-07-02,18.42,18.42,18.38,18.42,2499
2024-07-03,19.09,19.09,18.38,19.09,16020
2024-07-04,18.85,18.85,18.61,18.61,9697
2024-07-05,18.61,18.71,18.61,18.71,1944
2024-07-08,18.71,18.71,18.61,18.61,6907
2024-07-09,18.61,18.61,18.38,18.61,23815
2024-07-10,18.38,18.66,18.38,18.66,1508
2024-07-11,18.66,18.66,18.61,18.61,3385
2024-07-12,18.61,18.61,18.61,18.61,122
2024-07-15,18.61,19.09,18.38,18.57,4839
2024-07-16,18.61,19.09,18.61,18.9,5605
2024-07-17,18.85,18.85,18.85,18.85,494
2024-07-18,18.85,19.04,18.85,18.85,26343
2024-07-19,18.85,19.09,18.85,19.09,400
2024-07-22,19.09,19.33,18.76,19.09,41086
2024-07-23,18.9,18.95,18.9,18.95,2000
2024-07-24,18.61,19.0,18.61,18.85,9629
2024-07-25,18.85,19.04,18.85,19.04,32000
2024-07-26,18.85,18.85,18.76,18.76,200
2024-07-29,18.76,18.76,18.76,18.76,1834
2024-07-30,18.61,18.85,18.61,18.85,39297
2024-07-31,18.85,18.85,18.85,18.85,0
2024-08-01,18.85,18.85,18.85,18.85,0
2024-08-02,18.38,18.47,18.38,18.47,200
2024-08-05,18.47,18.85,18.14,18.61,41300
2024-08-06,18.38,18.42,18.38,18.42,433
2024-08-07,18.61,18.9,18.61,18.9,55000
2024-08-08,18.9,18.9,18.9,18.9,5
2024-08-09,18.61,19.38,18.61,19.38,57280
2024-08-12,18.9,19.19,18.9,19.19,7604
2024-08-13,17.28,20.52,17.28,19.95,29642
2024-08-14,19.76,19.95,19.43,19.43,5913
2024-08-15,19.09,19.43,19.09,19.43,2400
2024-08-16,19.33,19.43,19.33,19.38,10560
2024-08-19,19.38,19.38,19.38,19.38,4000
2024-08-20,19.57,19.57,19.57,19.57,100
2024-08-21,19.57,19.57,19.52,19.57,1733
2024-08-22,18.9,19.57,18.9,19.57,10900
2024-08-23,19.57,19.57,19.57,19.57,30
2024-08-26,19.57,19.57,19.57,19.57,0
2024-08-27,19.09,19.57,19.09,19.57,38800
2024-08-28,19.57,19.57,19.57,19.57,1205
2024-08-29,19.81,19.81,19.33,19.33,2901
2024-08-30,18.9,20.52,18.9,20.52,203
2024-09-04,18.47,19.43,18.47,19.43,39902
2024-09-05,19.43,19.43,19.43,19.43,0
2024-09-06,19.33,19.62,19.33,19.43,4200
2024-09-09,19.43,19.57,19.43,19.57,33202
2024-09-10,19.57,20.05,19.57,19.86,12910
2024-09-11,19.86,19.86,19.86,19.86,0
2024-09-12,18.66,20.05,18.66,20.05,29437
2024-09-13,20.0,20.05,20.0,20.05,500
2024-09-16,18.61,20.0,18.61,20.0,1317
2024-09-17,19.09,19.09,19.09,19.09,1505
2024-09-18,19.09,19.09,19.09,19.09,1201
2024-09-19,19.09,19.19,19.09,19.19,1200
2024-09-20,19.14,19.57,19.14,19.33,8612
2024-09-23,19.19,19.52,19.19,19.52,6280
2024-09-24,19.52,19.52,19.52,19.52,194
2024-09-25,19.33,19.57,19.33,19.57,3345
2024-09-26,19.57,19.81,19.57,19.81,4364
2024-09-27,19.81,19.81,19.81,19.81,17
2024-09-30,19.57,19.57,19.57,19.57,190
2024-10-01,20.5,20.5,20.5,20.5,100
2024-10-02,20.5,20.5,20.5,20.5,117
2024-10-03,20.06,20.3,20.06,20.06,11055
2024-10-04,20.06,20.16,20.06,20.16,2100
2024-10-07,20.16,20.16,20.16,20.16,72
2024-10-08,20.06,20.11,20.06,20.11,1802
2024-10-09,19.96,20.11,19.96,20.01,2170
2024-10-10,20.3,20.3,20.3,20.3,100
2024-10-11,19.86,19.86,19.81,19.81,2310
2024-10-14,20.06,20.06,20.06,20.06,11320
2024-10-15,20.06,20.06,20.06,20.06,34
2024-10-16,20.06,20.06,20.06,20.06,0
2024-10-17,20.01,20.01,19.86,19.86,1734
2024-10-18,19.86,19.86,19.86,19.86,18
2024-10-21,19.86,19.86,19.86,19.86,2
2024-10-22,20.06,20.06,20.01,20.01,7233
2024-10-23,19.96,19.96,19.72,19.72,3000
2024-10-24,19.96,19.96,19.96,19.96,500
2024-10-25,19.91,19.91,19.91,19.91,300
2024-10-28,19.81,19.86,19.57,19.57,917
2024-10-29,19.62,19.62,19.57,19.57,1002
2024-10-30,19.57,19.57,19.57,19.57,0
2024-10-31,19.57,19.62,19.57,19.62,816
2024-11-01,19.67,19.81,19.67,19.72,5100
2024-11-04,19.57,19.72,19.57,19.72,2553
2024-11-05,19.81,19.81,19.62,19.62,3205
2024-11-06,19.62,19.62,19.62,19.62,24
2024-11-07,19.62,19.62,19.62,19.62,0
2024-11-08,19.62,19.81,19.62,19.81,12749
2024-11-11,19.67,19.81,19.67,19.81,21679
2024-11-12,19.67,19.81,19.62,19.81,44093
2024-11-13,19.57,19.62,19.57,19.62,1300
2024-11-14,19.37,19.62,19.37,19.62,21164
