date,open,high,low,close,volume
2024-01-30,17.61,17.68,17.46,17.46,16110
2024-01-31,17.61,17.61,17.38,17.53,10230
2024-02-01,17.53,17.53,17.3,17.38,29860
2024-02-02,17.38,17.68,17.38,17.68,4802
2024-02-05,17.68,17.99,17.68,17.84,13049
2024-02-06,17.84,17.84,17.68,17.76,11300
2024-02-07,17.68,17.91,17.68,17.84,8820
2024-02-15,17.68,17.91,17.68,17.91,18649
2024-02-16,17.91,17.91,17.91,17.91,8081
2024-02-19,18.06,18.14,17.99,18.14,15727
2024-02-20,18.14,18.14,17.99,18.06,14891
2024-02-21,18.06,18.14,17.91,18.06,11500
2024-02-22,17.99,18.06,17.99,18.06,8400
2024-02-23,17.99,18.06,17.84,17.84,32094
2024-02-26,17.84,17.91,17.76,17.91,4200
2024-02-27,17.91,18.37,17.84,18.37,7010
2024-02-28,18.22,18.82,18.22,18.44,44143
2024-02-29,18.29,18.67,18.29,18.67,21236
2024-03-01,18.37,18.75,18.29,18.59,7187
2024-03-04,18.59,18.67,18.59,18.59,2714
2024-03-05,18.59,18.59,17.84,18.14,13254
2024-03-06,18.14,18.52,18.06,18.14,7810
2024-03-07,18.44,18.44,18.29,18.44,13910
2024-03-08,18.44,18.52,18.22,18.44,18820
2024-03-11,18.22,18.37,17.99,18.22,8330
2024-03-12,18.06,18.29,17.91,18.22,21820
2024-03-13,18.22,18.22,17.99,18.22,15498
2024-03-14,18.06,18.37,18.06,18.22,13908
2024-03-15,18.29,18.29,18.14,18.22,17860
2024-03-18,18.22,18.29,18.06,18.06,10590
2024-03-19,18.14,18.22,18.06,18.06,7320
2024-03-20,18.06,18.14,17.99,17.99,23024
2024-03-21,18.29,18.29,18.22,18.29,7057
2024-03-22,18.29,18.29,18.14,18.29,15456
2024-03-25,18.22,18.29,18.14,18.29,9645
2024-03-26,18.29,18.29,18.06,18.22,8020
2024-03-27,18.06,18.37,18.06,18.37,1822
2024-03-28,18.37,18.37,18.14,18.37,9962
2024-03-29,18.29,18.67,18.29,18.67,19631
2024-04-01,18.67,18.67,18.52,18.67,17910
2024-04-02,18.59,18.82,18.52,18.67,42420
2024-04-03,18.67,18.9,18.67,18.82,31450
2024-04-04,19.13,19.73,18.59,18.82,22695
2024-04-05,18.75,18.82,18.52,18.52,12136
2024-04-08,18.52,18.59,17.84,18.06,20754
2024-04-09,18.14,18.52,18.14,18.52,2100
2024-04-10,18.14,18.52,18.14,18.52,4113
2024-04-11,18.52,18.52,18.22,18.44,3030
2024-04-12,18.44,18.44,18.22,18.22,20700
2024-04-15,18.22,18.22,17.68,17.68,46100
2024-04-16,17.76,17.76,17.46,17.76,84301
2024-04-17,17.76,17.84,17.53,17.53,8900
2024-04-19,17.46,17.53,17.3,17.38,36839
2024-04-22,17.46,17.53,17.38,17.53,28262
2024-04-23,17.53,17.61,17.53,17.61,24719
2024-04-24,17.68,17.99,17.53,17.76,23740
2024-04-25,17.99,17.99,17.84,17.99,8600
2024-04-26,17.99,17.99,17.53,17.53,32900
2024-05-02,17.53,17.68,17.46,17.68,36076
2024-05-03,17.53,18.06,17.53,18.06,5287
2024-05-06,18.14,18.22,18.06,18.14,14427
