date,open,high,low,close,volume
2024-01-29,10.62,10.98,10.62,10.86,3602
2024-01-30,10.82,10.82,10.62,10.78,8401
2024-01-31,10.78,10.78,10.5,10.5,19616
2024-02-01,10.62,10.7,10.54,10.58,8300
2024-02-02,10.78,10.78,10.58,10.62,10204
2024-02-05,10.54,10.54,10.46,10.46,12057
2024-02-06,10.46,10.46,10.34,10.46,25943
2024-02-07,10.46,10.46,10.38,10.46,12770
2024-02-15,10.46,10.58,10.42,10.58,81409
2024-02-16,10.62,10.62,10.58,10.62,9600
2024-02-19,10.62,10.62,10.46,10.58,20830
2024-02-20,10.62,10.62,10.58,10.62,10794
2024-02-21,10.62,10.7,10.62,10.62,15565
2024-02-22,10.62,10.62,10.46,10.58,17701
2024-02-23,10.58,10.62,10.54,10.54,11800
2024-02-26,10.58,10.58,10.42,10.42,12739
2024-02-27,10.42,10.54,10.34,10.46,13800
2024-02-28,10.54,10.54,10.5,10.5,25601
2024-02-29,10.5,10.5,10.38,10.46,21200
2024-03-01,10.46,10.62,10.46,10.5,19101
2024-03-04,10.5,10.54,10.5,10.5,5437
2024-03-05,10.54,10.74,10.54,10.7,29524
2024-03-06,10.62,10.7,10.5,10.5,36402
2024-03-07,10.5,10.5,10.42,10.46,55248
2024-03-08,10.46,10.46,10.38,10.46,29440
2024-03-11,10.46,10.5,10.38,10.38,55364
2024-03-12,10.38,10.46,10.38,10.42,24102
2024-03-13,10.46,10.46,10.38,10.46,10510
2024-03-14,10.46,10.5,10.42,10.42,3530
2024-03-15,10.42,10.46,10.42,10.46,705
2024-03-18,10.46,10.5,10.34,10.42,11459
2024-03-19,10.42,10.5,10.38,10.46,22502
2024-03-20,10.42,10.46,10.38,10.46,3504
2024-03-21,10.46,10.5,10.38,10.46,6102
2024-03-22,10.46,10.46,10.42,10.46,8905
2024-03-25,10.54,10.54,10.38,10.38,11466
2024-03-26,10.38,10.38,10.38,10.38,4801
2024-03-27,10.42,10.42,10.34,10.38,20200
2024-03-28,10.34,10.42,10.34,10.42,9800
2024-03-29,10.42,10.42,10.38,10.38,7800
2024-04-01,10.42,10.42,10.38,10.38,4001
2024-04-02,10.34,10.46,10.3,10.46,31806
2024-04-03,10.46,10.54,10.46,10.46,39400
2024-04-04,10.46,10.46,10.42,10.46,35901
2024-04-05,10.46,10.46,10.34,10.42,16600
2024-04-08,10.46,10.46,10.42,10.42,9400
2024-04-09,10.42,10.42,10.3,10.34,20300
2024-04-10,10.42,10.58,10.42,10.58,17900
2024-04-11,10.58,10.58,10.38,10.42,7601
2024-04-12,10.42,10.5,10.42,10.46,7500
2024-04-15,10.46,10.46,10.38,10.38,8107
2024-04-16,10.38,10.38,10.3,10.38,14304
2024-04-17,10.42,10.42,10.38,10.38,2701
2024-04-19,10.38,10.38,10.3,10.38,16402
2024-04-22,10.13,10.3,10.13,10.3,2800
2024-04-23,10.38,10.42,10.34,10.42,4211
2024-04-24,10.46,10.46,10.42,10.42,4501
2024-04-25,10.42,10.46,10.42,10.46,4714
2024-04-26,10.46,10.54,10.46,10.46,39342
2024-05-02,10.46,10.46,10.21,10.46,72025
2024-05-03,10.46,10.7,10.42,10.46,253401
2024-05-06,10.58,10.62,10.46,10.46,146400
2024-05-07,10.5,10.54,10.38,10.46,180000
2024-05-08,10.46,10.46,10.42,10.42,352311
2024-05-09,10.42,11.14,10.42,11.14,274289
2024-05-10,11.26,11.42,11.14,11.14,167105
2024-05-13,11.5,11.5,11.14,11.3,212111
2024-05-14,11.3,11.46,10.54,10.54,2748000
2024-05-15,10.9,10.9,10.35,10.45,250017
2024-05-16,10.45,10.49,10.04,10.13,328571
2024-05-17,10.13,10.17,9.95,10.08,113541
2024-05-20,10.13,10.17,10.04,10.13,91122
2024-05-21,10.04,10.13,9.95,10.04,339201
2024-05-22,10.08,10.13,10.04,10.08,104153
2024-05-23,10.08,10.13,9.95,9.99,402195
2024-05-24,9.99,9.99,9.95,9.95,197161
2024-05-27,10.04,10.04,9.95,9.99,93300
2024-05-28,9.99,9.99,9.95,9.99,92204
2024-05-29,9.99,9.99,9.9,9.9,149001
2024-05-30,9.9,9.95,9.86,9.9,125523
