date,open,high,low,close,volume
2023-06-09,4.5,4.5,4.5,4.5,100
2023-06-12,4.5,4.5,4.5,4.5,0
2023-06-13,4.5,4.5,4.5,4.5,0
2023-06-14,4.5,4.5,4.5,4.5,0
2023-06-15,4.5,4.5,4.5,4.5,200
2023-06-16,4.2,4.3,4.2,4.3,5400
2023-06-19,4.2,4.2,4.2,4.2,0
2023-06-20,4.2,4.2,4.2,4.2,401
2023-06-21,4.2,4.3,4.2,4.3,200
2023-06-22,4.3,4.3,4.3,4.3,0
2023-06-23,4.3,4.3,4.3,4.3,0
2023-06-26,4.3,4.3,4.2,4.2,2300
2023-06-27,4.2,4.2,4.2,4.2,1000
2023-06-28,4.5,4.7,4.5,4.7,3700
2023-06-29,4.5,4.5,4.5,4.5,700
2023-06-30,4.5,4.5,4.4,4.5,900
2023-07-03,4.3,4.3,4.2,4.2,1100
2023-07-04,3.9,4.7,3.9,4.7,410
2023-07-05,4.2,4.2,4.2,4.2,300
2023-07-06,4.8,4.8,4.0,4.8,6501
2023-07-07,5.0,5.0,4.3,4.9,900
2023-07-10,5.1,5.1,5.0,5.0,512
2023-07-11,4.4,4.6,4.4,4.5,2800
2023-07-12,5.1,5.1,4.9,4.9,1500
2023-07-13,4.9,4.9,4.9,4.9,100
2023-07-14,4.9,4.9,4.9,4.9,0
2023-07-17,4.5,4.9,4.5,4.9,300
2023-07-18,4.2,5.0,4.2,4.6,9011
2023-07-19,5.1,5.1,5.0,5.0,5700
2023-07-20,5.1,5.1,5.1,5.1,0
2023-07-21,5.1,5.1,5.1,5.1,0
2023-07-24,5.1,5.1,4.4,4.4,800
2023-07-25,5.1,5.7,4.9,4.9,6600
2023-07-26,5.1,5.1,5.1,5.1,0
2023-07-27,5.0,5.0,5.0,5.0,5000
2023-07-28,5.0,5.0,5.0,5.0,500
2023-07-31,5.0,5.0,5.0,5.0,6000
2023-08-01,5.5,5.5,4.4,4.4,200
2023-08-02,5.0,5.0,5.0,5.0,0
2023-08-03,5.0,5.0,5.0,5.0,0
2023-08-04,5.0,5.0,5.0,5.0,0
2023-08-07,5.0,5.0,5.0,5.0,0
2023-08-08,5.0,5.0,5.0,5.0,0
2023-08-09,5.0,5.0,5.0,5.0,0
2023-08-10,5.0,5.0,5.0,5.0,0
2023-08-11,5.3,5.3,5.3,5.3,100
2023-08-14,5.3,5.3,5.3,5.3,0
2023-08-15,5.2,5.2,5.1,5.1,2204
2023-08-16,4.7,5.6,4.7,5.6,300
2023-08-17,5.3,5.3,5.3,5.3,100
2023-08-18,5.3,5.3,5.3,5.3,0
2023-08-21,5.3,5.3,5.3,5.3,300
2023-08-22,5.4,5.8,5.3,5.4,500
2023-08-23,5.5,5.5,5.5,5.5,0
2023-08-24,5.5,5.5,5.5,5.5,0
2023-08-25,4.7,4.7,4.7,4.7,100
2023-08-28,5.1,5.2,5.1,5.2,1200
2023-08-29,5.9,5.9,4.9,5.0,600
2023-08-30,5.4,5.4,5.4,5.4,0
2023-08-31,5.4,5.4,5.4,5.4,27
2023-09-05,5.3,5.3,5.3,5.3,1800
2023-09-06,5.5,6.0,5.1,5.5,2900
2023-09-07,5.9,5.9,5.9,5.9,0
2023-09-08,6.3,6.3,6.3,6.3,100
2023-09-11,6.3,6.3,6.3,6.3,0
2023-09-12,5.4,6.0,5.4,6.0,1200
2023-09-13,5.7,5.7,5.7,5.7,0
2023-09-14,5.7,5.7,5.7,5.7,0
2023-09-15,5.8,6.5,5.8,6.5,700
2023-09-18,7.0,7.0,6.7,6.9,1106
2023-09-19,6.5,6.5,5.8,5.8,1400
2023-09-20,6.1,6.1,5.3,5.3,300
2023-09-21,5.1,5.1,4.8,4.8,803
2023-09-22,4.4,4.4,4.4,4.4,100
2023-09-25,4.8,4.8,4.8,4.8,400
2023-09-26,5.2,5.3,5.2,5.3,400
2023-09-27,5.2,5.2,5.2,5.2,100
2023-09-28,5.2,5.2,5.0,5.0,2100
2023-09-29,5.8,5.9,5.8,5.9,300
2023-10-02,5.7,5.7,5.0,5.0,2000
2023-10-03,5.1,5.1,5.1,5.1,0
2023-10-04,5.1,5.1,5.1,5.1,3
2023-10-05,5.1,5.1,5.1,5.1,0
2023-10-06,5.0,5.1,4.8,5.1,500
2023-10-09,5.0,5.0,5.0,5.0,0
2023-10-10,5.0,5.0,5.0,5.0,0
2023-10-11,5.0,5.0,5.0,5.0,0
2023-10-12,5.0,5.0,5.0,5.0,0
2023-10-13,4.5,4.5,4.5,4.5,100
2023-10-16,4.8,4.8,4.8,4.8,100
2023-10-17,5.4,5.4,5.4,5.4,600
2023-10-18,5.4,5.4,5.4,5.4,0
2023-10-19,4.6,4.6,4.6,4.6,100
2023-10-20,4.6,4.6,4.6,4.6,0
2023-10-23,4.6,4.6,4.6,4.6,0
2023-10-24,4.6,4.6,4.6,4.6,0
2023-10-25,4.6,4.6,4.6,4.6,0
2023-10-26,4.6,4.6,4.6,4.6,0
2023-10-27,4.6,4.6,4.6,4.6,0
2023-10-30,4.6,4.6,4.6,4.6,0
2023-10-31,4.6,4.6,4.6,4.6,0
2023-11-01,4.0,4.0,4.0,4.0,100
2023-11-02,4.6,4.6,4.6,4.6,100
