date,open,high,low,close,volume
2024-01-30,14.47,15.02,14.47,15.02,4698027
2024-01-31,15.09,15.09,14.73,14.8,3162620
2024-02-01,14.87,15.7,14.76,15.67,5522985
2024-02-02,15.74,16.35,15.56,15.92,4356014
2024-02-05,15.95,16.35,15.85,15.95,4445183
2024-02-06,15.99,16.32,15.77,16.21,3860316
2024-02-07,16.32,16.39,16.03,16.06,3294211
2024-02-15,16.1,16.17,15.67,15.81,5391826
2024-02-16,15.74,16.39,15.74,16.21,4664995
2024-02-19,16.24,16.42,15.92,15.99,3134761
2024-02-20,16.13,16.53,15.81,16.53,6087950
2024-02-21,16.53,16.75,16.21,16.35,3982678
2024-02-22,16.39,16.5,16.24,16.28,2769937
2024-02-23,16.39,16.6,15.88,15.95,6420618
2024-02-26,15.95,16.39,15.85,16.32,3658323
2024-02-27,16.39,16.46,16.21,16.32,3230050
2024-02-28,16.42,16.82,16.24,16.5,6088567
2024-02-29,16.64,16.64,15.92,16.24,6974712
2024-03-01,16.24,16.53,16.13,16.46,3567468
2024-03-04,16.53,16.75,16.28,16.32,5197307
2024-03-05,16.39,16.39,16.1,16.24,4309954
2024-03-06,16.39,16.39,15.88,15.95,6073831
2024-03-07,15.95,16.1,15.67,15.85,6681073
2024-03-08,15.95,15.95,15.52,15.56,4695995
2024-03-11,15.52,15.7,15.16,15.3,3400288
2024-03-12,15.3,15.77,15.23,15.63,4277433
2024-03-13,15.7,15.95,15.56,15.92,4129874
2024-03-14,15.95,16.53,15.85,16.39,8170960
2024-03-15,16.46,16.5,15.95,16.03,4734736
2024-03-18,16.03,16.17,15.16,15.41,7213865
2024-03-19,15.52,15.99,15.48,15.74,3076328
2024-03-20,15.95,15.99,15.74,15.81,2004698
2024-03-21,16.03,16.21,15.85,16.03,4059274
2024-03-22,16.17,16.24,15.95,15.95,4854093
2024-03-25,16.03,16.21,15.59,15.77,4905030
2024-03-26,15.85,15.99,15.67,15.92,2788299
2024-03-27,15.99,17.0,15.92,17.0,13378950
2024-03-28,17.18,17.18,16.82,16.89,7352653
2024-03-29,16.89,17.15,16.64,16.71,6012069
2024-04-01,16.75,16.86,16.35,16.6,5221970
2024-04-02,16.5,16.78,16.32,16.71,4940887
2024-04-03,16.78,17.15,16.46,16.53,6600124
2024-04-04,16.6,16.6,16.17,16.53,5008861
2024-04-05,16.32,16.78,16.17,16.39,4860984
2024-04-08,16.24,16.39,15.92,15.92,3291480
2024-04-09,15.95,16.13,15.67,15.92,3687986
2024-04-10,15.99,16.1,15.56,15.56,3561484
2024-04-11,15.34,15.63,15.3,15.56,2663566
2024-04-12,15.59,15.95,15.59,15.95,2306200
2024-04-15,15.95,15.95,14.87,14.87,5156667
2024-04-16,14.87,14.94,14.19,14.58,4374254
2024-04-17,14.76,14.8,14.44,14.44,1996142
2024-04-19,14.37,14.55,13.93,14.01,3463255
2024-04-22,14.22,14.4,14.19,14.37,1323202
2024-04-23,14.37,14.4,14.15,14.26,1351640
2024-04-24,14.51,14.76,14.44,14.69,1804198
2024-04-25,14.65,14.69,14.44,14.51,1259330
2024-04-26,14.4,15.05,14.33,14.76,2674175
2024-05-02,14.8,14.8,14.47,14.55,1528159
2024-05-03,14.65,14.73,14.44,14.44,1727977
2024-05-06,14.58,14.98,14.47,14.94,2284301
2024-05-07,15.02,15.41,14.84,15.3,3062396
2024-05-08,15.09,15.67,15.02,15.38,3346965
2024-05-09,15.38,15.48,15.09,15.16,2697236
2024-05-10,15.3,15.38,14.87,15.05,2391932
2024-05-13,15.12,15.34,14.98,15.05,1852222
2024-05-14,15.16,15.23,15.05,15.12,1137599
2024-05-15,15.16,15.63,15.09,15.27,2992759
2024-05-16,15.45,15.45,15.2,15.27,2336368
2024-05-17,15.3,15.67,15.23,15.48,4160260
2024-05-20,15.59,16.53,15.56,16.17,6736107
2024-05-21,16.1,16.28,15.81,15.99,4498010
2024-05-22,16.13,16.35,15.67,15.74,5980803
2024-05-23,15.74,16.13,15.63,15.67,10664195
2024-05-24,15.67,15.81,14.98,15.38,7653903
2024-05-27,15.38,15.48,15.05,15.09,3702611
2024-05-28,15.2,15.38,15.09,15.3,3475842
2024-05-29,15.41,15.52,15.12,15.16,3883158
2024-05-30,14.8,15.48,14.8,15.34,21511932
2024-05-31,15.59,16.13,15.48,15.92,14592121
2024-06-03,16.1,16.13,15.7,15.74,11999220
2024-06-04,15.85,16.28,15.7,15.99,12248653
2024-06-05,16.03,16.21,15.77,15.77,7276150
2024-06-06,15.85,16.24,15.63,16.03,9919965
2024-06-07,16.13,16.75,15.95,16.39,15327427
2024-06-10,16.89,17.51,16.68,17.11,22639298
2024-06-11,17.29,17.29,16.68,16.86,10818743
2024-06-12,16.86,16.86,16.53,16.75,9629903
2024-06-13,16.82,17.07,16.64,16.71,7758721
2024-06-14,16.86,17.07,16.03,16.03,14528808
2024-06-17,16.17,16.57,16.06,16.24,8026337
2024-06-18,16.39,16.46,16.17,16.17,4862476
2024-06-19,16.17,16.39,16.1,16.24,6787731
2024-06-20,16.28,16.32,15.88,15.99,7959964
2024-06-21,16.03,16.42,15.99,16.1,5917387
2024-06-24,16.17,16.17,15.16,15.2,11556739
2024-06-25,15.23,15.99,15.12,15.7,6697795
2024-06-26,15.7,15.95,15.38,15.56,3515386
2024-06-27,15.63,15.67,15.48,15.56,2298927
2024-06-28,15.56,15.92,15.27,15.88,6912219
2024-07-01,15.81,15.85,15.56,15.74,2738258
2024-07-02,15.85,16.06,15.74,15.81,3372715
2024-07-03,15.85,16.13,15.81,15.81,3359852
2024-07-04,15.85,15.92,15.7,15.74,3929760
2024-07-05,15.88,16.21,15.81,16.03,7806401
2024-07-08,16.24,16.39,16.03,16.13,6159526
2024-07-09,16.24,16.28,16.03,16.1,5464614
2024-07-10,16.13,16.17,15.74,15.74,7402349
2024-07-11,15.81,15.95,15.7,15.7,4306953
2024-07-12,15.74,15.85,15.56,15.59,3397761
2024-07-15,15.67,15.74,15.52,15.52,2269287
2024-07-16,15.63,15.81,15.52,15.52,3304967
2024-07-17,15.63,15.7,14.44,14.65,9861855
2024-07-18,14.8,15.02,14.58,14.98,3528515
2024-07-19,14.98,14.98,14.62,14.65,3895313
2024-07-22,14.62,14.84,14.29,14.51,3950551
2024-07-23,14.58,14.69,14.15,14.15,3223187
2024-07-24,14.01,14.44,13.9,14.33,3266698
2024-07-25,14.33,14.4,14.19,14.37,1605098
2024-07-26,14.37,14.44,14.29,14.44,1049738
2024-07-29,14.51,14.62,14.44,14.44,1230269
2024-07-30,14.44,14.69,14.37,14.47,2023649
2024-07-31,14.76,14.76,14.4,14.44,1888507
2024-08-01,14.51,14.55,13.57,13.82,4997829
2024-08-02,13.72,13.93,13.39,13.93,3502090
2024-08-05,13.57,13.68,12.96,12.96,4024349
2024-08-06,13.03,13.21,12.71,13.1,3063882
2024-08-07,13.17,13.25,12.89,13.1,1768063
2024-08-08,12.99,13.36,12.99,13.14,2664670
