date,open,high,low,close,volume
2023-12-12,3.8,4.0,3.8,4.0,3100
2023-12-13,3.8,4.0,3.8,4.0,4000
2023-12-14,4.0,4.0,4.0,4.0,100
2023-12-15,3.9,3.9,3.8,3.9,1300
2023-12-18,3.8,4.2,3.4,4.0,8200
2023-12-19,3.9,3.9,3.9,3.9,100
2023-12-20,4.0,4.0,3.7,3.7,2100
2023-12-21,3.8,3.9,3.8,3.9,300
2023-12-22,3.9,4.0,3.9,4.0,300
2023-12-25,4.0,4.0,4.0,4.0,100
2023-12-26,3.9,4.0,3.9,4.0,900
2023-12-27,4.0,4.0,4.0,4.0,0
2023-12-28,4.0,4.0,4.0,4.0,0
2023-12-29,4.0,4.0,3.8,4.0,800
2024-01-02,3.7,4.0,3.5,4.0,16200
2024-01-03,4.0,4.0,3.9,3.9,700
2024-01-04,3.9,4.0,3.7,3.8,1504
2024-01-05,3.8,3.8,3.8,3.8,201
2024-01-08,3.9,3.9,3.9,3.9,242
2024-01-09,3.8,3.9,3.8,3.9,1202
2024-01-10,3.8,3.9,3.6,3.9,3630
2024-01-11,3.9,3.9,3.7,3.9,3600
2024-01-12,3.7,3.9,3.7,3.9,1800
2024-01-15,3.8,3.8,3.7,3.8,600
2024-01-16,3.8,3.8,3.8,3.8,100
2024-01-17,3.8,3.8,3.5,3.8,6300
2024-01-18,3.8,3.8,3.8,3.8,100
2024-01-19,3.6,3.7,3.3,3.6,3200
2024-01-22,3.7,3.7,3.6,3.6,710
2024-01-23,3.7,3.7,3.7,3.7,1140
2024-01-24,3.7,3.7,3.6,3.7,300
2024-01-25,3.7,3.7,3.7,3.7,0
2024-01-26,3.6,3.8,3.6,3.8,4800
2024-01-29,3.6,3.6,3.6,3.6,2
2024-01-30,3.5,3.8,3.5,3.8,301
2024-01-31,3.7,3.7,3.6,3.6,600
2024-02-01,3.4,3.7,3.4,3.7,23300
2024-02-02,3.9,3.9,3.8,3.8,1101
2024-02-05,3.8,3.8,3.8,3.8,0
2024-02-06,3.5,3.5,3.5,3.5,1300
2024-02-07,3.6,3.6,3.2,3.5,5203
2024-02-15,3.5,3.5,3.5,3.5,100
2024-02-16,3.9,3.9,3.2,3.5,1202
2024-02-19,3.5,3.5,3.5,3.5,105
2024-02-20,3.3,3.6,3.3,3.6,605
2024-02-21,3.9,3.9,3.6,3.6,205
2024-02-22,3.8,3.8,3.8,3.8,0
2024-02-23,3.8,3.8,3.8,3.8,134
2024-02-26,3.8,3.8,3.8,3.8,0
2024-02-27,3.8,3.8,3.8,3.8,0
2024-02-28,3.8,3.8,3.8,3.8,0
2024-02-29,3.7,3.7,3.7,3.7,200
2024-03-01,3.4,3.4,3.4,3.4,350
2024-03-04,3.5,3.7,3.5,3.6,1112
2024-03-05,3.7,3.7,3.7,3.7,100
2024-03-06,4.2,4.2,3.7,3.7,310
2024-03-07,3.7,3.7,3.7,3.7,222
2024-03-08,3.7,3.7,3.2,3.4,47500
2024-03-11,3.6,3.6,3.6,3.6,100
2024-03-12,3.7,3.7,3.2,3.3,8700
2024-03-13,3.3,3.4,3.3,3.4,304
2024-03-14,3.4,3.5,3.4,3.5,900
2024-03-15,3.4,3.4,3.4,3.4,700
2024-03-18,3.4,3.4,3.0,3.4,27300
2024-03-19,3.5,3.5,3.5,3.5,200
2024-03-20,3.4,3.6,3.4,3.6,8800
2024-03-21,3.5,3.6,3.5,3.6,5100
2024-03-22,3.3,3.6,3.3,3.5,8995
2024-03-25,3.5,3.5,3.5,3.5,100
2024-03-26,3.6,3.6,3.5,3.5,3100
2024-03-27,3.5,3.6,3.5,3.6,506
2024-03-28,3.5,3.7,3.5,3.6,1900
2024-03-29,3.3,3.7,3.3,3.7,3500
2024-04-01,3.6,3.8,3.6,3.8,6149
2024-04-02,3.8,3.8,3.7,3.8,6700
2024-04-03,3.9,3.9,3.4,3.4,10100
2024-04-04,3.9,3.9,3.3,3.9,57316
2024-04-05,3.9,4.2,3.9,4.2,6101
2024-04-08,4.2,4.4,3.8,4.2,12701
2024-04-09,3.6,4.2,3.6,4.2,15000
2024-04-10,4.1,4.3,4.1,4.3,15400
2024-04-11,4.3,4.3,3.9,3.9,8904
2024-04-12,4.3,4.4,4.3,4.4,10600
2024-04-15,4.4,4.5,4.4,4.4,5100
2024-04-16,3.8,4.4,3.8,4.4,24700
2024-04-17,3.6,4.4,3.6,4.4,18100
2024-04-19,4.4,4.6,3.6,4.6,46109
2024-04-22,4.4,4.5,4.4,4.5,53000
2024-04-23,4.6,4.8,4.5,4.8,69500
2024-04-24,5.4,5.4,5.2,5.2,21008
2024-04-25,5.1,5.2,4.6,5.1,44000
2024-04-26,4.6,5.5,4.6,5.5,36900
2024-05-02,5.9,5.9,5.8,5.9,46560
2024-05-03,6.2,6.7,6.2,6.7,46101
2024-05-06,6.7,7.4,5.7,5.7,40758
2024-05-07,5.4,5.4,5.4,5.4,5850
2024-05-08,4.7,6.0,4.6,6.0,143100
2024-05-09,5.4,5.4,4.7,5.4,150642
2024-05-10,5.9,5.9,4.5,4.9,86801
2024-05-13,4.6,4.7,4.2,4.4,48800
2024-05-14,4.4,4.6,4.3,4.3,32200
2024-05-15,4.4,4.5,4.3,4.4,11400
2024-05-16,4.3,4.4,4.0,4.2,32201
2024-05-17,4.1,4.3,4.0,4.3,3800
2024-05-20,4.0,4.2,4.0,4.2,4100
2024-05-21,4.1,4.3,4.0,4.2,29204
2024-05-22,4.0,4.3,3.8,4.3,32300
2024-05-23,4.1,4.3,4.1,4.3,2812
2024-05-24,4.1,4.2,4.1,4.1,5203
2024-05-27,4.2,4.3,4.2,4.3,10300
2024-05-28,4.2,4.3,4.1,4.3,20603
2024-05-29,4.3,4.8,4.3,4.6,41700
2024-05-30,4.6,4.6,4.5,4.6,17035
2024-05-31,4.5,4.5,4.3,4.3,6700
2024-06-03,4.4,4.4,4.2,4.3,37600
2024-06-04,4.2,4.3,4.0,4.3,18000
2024-06-05,4.1,4.3,4.1,4.3,13500
2024-06-06,4.0,4.3,3.7,4.3,16100
2024-06-07,4.4,4.4,4.3,4.3,16100
2024-06-10,4.3,4.5,4.3,4.3,15606
2024-06-11,4.3,4.3,4.3,4.3,0
2024-06-12,4.1,4.2,3.9,3.9,22428
2024-06-13,4.0,4.1,3.9,4.1,16100
2024-06-14,4.0,4.0,3.9,4.0,13400
2024-06-17,3.8,4.0,3.7,4.0,1400
2024-06-18,3.9,3.9,3.9,3.9,9900
2024-06-19,3.8,3.9,3.5,3.9,13100
2024-06-20,3.8,3.9,3.7,3.9,11460
2024-06-21,4.0,4.0,4.0,4.0,140
2024-06-24,3.7,3.9,3.7,3.7,300
2024-06-25,3.9,3.9,3.7,3.9,4000
2024-06-26,3.9,3.9,3.7,3.7,2500
2024-06-27,3.7,3.8,3.7,3.8,800
2024-06-28,3.5,3.8,3.5,3.8,2200
2024-07-01,3.9,3.9,3.6,3.9,1302
2024-07-02,3.6,3.9,3.6,3.9,3100
2024-07-03,3.9,3.9,3.7,3.8,4600
2024-07-04,3.5,3.8,3.5,3.8,1600
2024-07-05,3.9,3.9,3.8,3.8,1000
2024-07-08,3.9,3.9,3.7,3.7,1400
2024-07-09,3.8,3.9,3.8,3.8,1850
2024-07-10,3.9,4.0,3.9,4.0,200
2024-07-11,4.0,4.0,3.9,3.9,8300
2024-07-12,3.9,3.9,3.9,3.9,200
2024-07-15,3.8,3.9,3.8,3.9,200
2024-07-16,3.9,3.9,3.8,3.8,600
2024-07-17,3.8,3.8,3.8,3.8,0
2024-07-18,3.8,3.8,3.8,3.8,0
2024-07-19,3.6,3.7,3.5,3.7,400
2024-07-22,3.5,3.6,3.5,3.5,7100
2024-07-23,3.5,3.5,3.5,3.5,200
2024-07-24,3.6,3.6,3.4,3.6,300
2024-07-25,3.3,3.3,3.3,3.3,200
2024-07-26,3.7,3.7,3.3,3.7,6200
2024-07-29,3.6,3.6,3.6,3.6,100
2024-07-30,3.2,3.6,3.2,3.6,1300
2024-07-31,3.1,3.5,3.1,3.5,1500
2024-08-01,3.5,3.5,3.5,3.5,100
2024-08-02,3.5,3.7,3.5,3.7,300
2024-08-05,3.1,3.7,3.1,3.7,200
2024-08-06,3.2,3.6,3.2,3.6,2200
2024-08-07,3.6,3.6,3.6,3.6,100
2024-08-08,3.7,3.7,3.7,3.7,100
2024-08-09,3.7,3.7,3.7,3.7,100
2024-08-12,3.6,3.6,3.6,3.6,100
2024-08-13,3.8,3.8,3.8,3.8,100
2024-08-14,3.8,3.9,3.8,3.9,300
