date,open,high,low,close,volume
2023-10-12,6.68,6.68,6.68,6.68,0
2023-10-13,6.68,6.68,6.68,6.68,0
2023-10-16,6.68,6.68,6.68,6.68,0
2023-10-17,5.89,5.89,5.89,5.89,100
2023-10-18,5.89,5.89,5.89,5.89,0
2023-10-19,5.89,5.89,5.89,5.89,0
2023-10-20,5.89,5.89,5.89,5.89,0
2023-10-23,5.89,5.89,5.89,5.89,0
2023-10-24,5.89,5.89,5.89,5.89,0
2023-10-25,5.89,5.89,5.89,5.89,0
2023-10-26,5.89,5.89,5.89,5.89,0
2023-10-27,5.89,5.89,5.89,5.89,0
2023-10-30,5.89,5.89,5.89,5.89,0
2023-10-31,5.89,5.89,5.89,5.89,0
2023-11-01,5.89,5.89,5.89,5.89,0
2023-11-02,5.89,5.89,5.89,5.89,0
2023-11-03,5.89,5.89,5.89,5.89,0
2023-11-06,5.89,5.89,5.89,5.89,0
2023-11-07,5.89,5.89,5.89,5.89,0
2023-11-08,5.89,5.89,5.89,5.89,0
2023-11-09,5.89,5.89,5.89,5.89,0
2023-11-10,5.89,5.89,5.89,5.89,200
2023-11-13,5.89,5.89,5.89,5.89,0
2023-11-14,5.89,5.89,5.89,5.89,0
2023-11-15,5.89,5.89,5.89,5.89,0
2023-11-16,5.89,5.89,5.89,5.89,0
2023-11-17,5.89,5.89,5.89,5.89,0
2023-11-20,5.89,5.89,5.89,5.89,0
2023-11-21,5.89,5.89,5.89,5.89,0
2023-11-22,5.89,5.89,5.89,5.89,0
2023-11-23,5.89,5.89,5.89,5.89,0
2023-11-24,5.89,5.89,5.89,5.89,0
2023-11-27,5.89,5.89,5.89,5.89,0
2023-11-28,5.89,5.89,5.89,5.89,0
2023-11-29,5.89,5.89,5.89,5.89,0
2023-11-30,5.89,5.89,5.89,5.89,0
2023-12-01,5.89,5.89,5.89,5.89,0
2023-12-04,5.89,5.89,5.89,5.89,0
2023-12-05,5.89,5.89,5.89,5.89,0
2023-12-06,5.89,5.89,5.89,5.89,0
2023-12-07,5.89,5.89,5.89,5.89,1400
2023-12-08,5.89,5.89,5.89,5.89,0
2023-12-11,5.89,5.89,5.89,5.89,0
2023-12-12,5.89,5.89,5.89,5.89,0
2023-12-13,5.89,5.89,5.89,5.89,0
2023-12-14,5.89,5.89,5.89,5.89,0
2023-12-15,6.29,6.29,6.29,6.29,400
2023-12-18,6.29,6.29,6.29,6.29,0
2023-12-19,6.29,6.29,6.29,6.29,0
2023-12-20,5.4,5.4,5.4,5.4,200
2023-12-21,5.4,5.4,5.4,5.4,0
2023-12-22,5.4,5.4,5.4,5.4,0
2023-12-25,5.4,5.4,5.4,5.4,0
2023-12-26,5.4,5.4,5.4,5.4,0
2023-12-27,5.5,5.5,5.5,5.5,100
2023-12-28,5.5,5.5,5.5,5.5,0
2023-12-29,5.5,5.5,5.5,5.5,0
2024-01-02,5.5,5.5,5.5,5.5,0
2024-01-03,5.5,5.5,5.5,5.5,0
2024-01-04,5.5,5.5,5.5,5.5,0
2024-01-05,5.5,5.5,5.5,5.5,0
2024-01-08,5.5,5.5,5.5,5.5,0
2024-01-09,5.5,5.5,5.5,5.5,0
2024-01-10,5.5,5.5,5.5,5.5,0
2024-01-11,5.5,5.5,5.5,5.5,0
2024-01-12,5.5,5.5,5.5,5.5,0
2024-01-15,5.5,5.5,5.5,5.5,0
2024-01-16,5.5,5.5,5.5,5.5,0
2024-01-17,5.4,5.4,5.4,5.4,100
2024-01-18,5.4,5.4,5.4,5.4,0
2024-01-19,5.4,5.4,5.4,5.4,0
2024-01-22,5.4,5.4,5.4,5.4,0
2024-01-23,5.4,5.4,5.4,5.4,0
2024-01-24,5.4,5.4,5.4,5.4,0
2024-01-25,5.4,5.4,5.4,5.4,0
2024-01-26,5.4,5.4,5.4,5.4,0
2024-01-29,5.5,5.5,5.5,5.5,100
2024-01-30,5.5,5.5,5.5,5.5,0
2024-01-31,5.5,5.5,5.5,5.5,0
2024-02-01,5.5,5.5,5.5,5.5,0
2024-02-02,5.5,5.5,5.5,5.5,0
2024-02-05,5.6,5.6,5.6,5.6,200
2024-02-06,5.6,5.6,5.6,5.6,0
2024-02-07,5.6,5.6,5.6,5.6,0
2024-02-15,5.6,5.6,5.6,5.6,0
2024-02-16,5.6,5.6,5.6,5.6,0
2024-02-19,5.6,5.6,5.6,5.6,0
2024-02-20,5.89,5.89,5.89,5.89,100
2024-02-21,5.89,5.89,5.89,5.89,0
2024-02-22,5.89,5.89,5.89,5.89,0
2024-02-23,5.89,5.89,5.89,5.89,0
2024-02-26,5.89,5.89,5.89,5.89,200
2024-02-27,5.89,5.89,5.89,5.89,0
2024-02-28,5.89,5.89,5.89,5.89,0
2024-02-29,5.89,5.89,5.89,5.89,0
2024-03-01,5.89,5.89,5.89,5.89,0
2024-03-04,5.89,5.89,5.89,5.89,0
2024-03-05,5.89,5.89,5.89,5.89,0
2024-03-06,5.89,5.89,5.89,5.89,0
2024-03-07,5.89,5.89,5.89,5.89,0
2024-03-08,5.89,5.89,5.89,5.89,0
2024-03-11,5.89,5.89,5.89,5.89,0
2024-03-12,5.89,5.89,5.89,5.89,0
2024-03-13,5.89,5.89,5.89,5.89,0
2024-03-14,5.89,5.89,5.89,5.89,0
2024-03-15,5.89,5.89,5.89,5.89,0
2024-03-18,5.89,5.89,5.89,5.89,0
2024-03-19,5.89,5.89,5.89,5.89,0
2024-03-20,5.89,5.89,5.89,5.89,0
2024-03-21,5.89,5.89,5.89,5.89,0
2024-03-22,5.89,5.89,5.89,5.89,0
2024-03-25,5.01,5.01,5.01,5.01,100
2024-03-26,5.01,5.01,5.01,5.01,0
2024-03-27,5.01,5.01,5.01,5.01,200
2024-03-28,5.01,5.01,5.01,5.01,4520
2024-03-29,5.01,5.01,5.01,5.01,0
2024-04-01,5.01,5.01,5.01,5.01,1
2024-04-02,5.01,5.01,5.01,5.01,14
2024-04-03,5.21,5.21,5.21,5.21,1005
2024-04-04,5.89,5.89,5.79,5.79,701
2024-04-05,6.58,6.58,5.89,6.38,1000
2024-04-08,6.29,6.29,6.29,6.29,201
2024-04-09,5.89,6.19,5.89,6.09,300
