date,open,high,low,close,volume
2023-05-12,7.5,7.9,7.5,7.5,3220
2023-05-15,8.0,8.0,7.0,7.8,825
2023-05-16,7.1,7.6,7.1,7.6,810
2023-05-17,7.6,7.6,7.6,7.6,10
2023-05-18,7.6,7.6,7.6,7.6,0
2023-05-19,7.6,7.6,7.6,7.6,0
2023-05-22,7.6,7.6,7.6,7.6,30
2023-05-23,6.9,6.9,6.9,6.9,1000
2023-05-24,7.1,7.1,7.1,7.1,100
2023-05-25,7.1,7.1,7.1,7.1,0
2023-05-26,6.4,7.0,6.4,7.0,1332
2023-05-29,7.0,7.0,6.4,6.4,400
2023-05-30,6.8,6.9,6.8,6.9,200
2023-05-31,7.4,7.4,7.4,7.4,100
2023-06-01,7.9,7.9,7.9,7.9,137
2023-06-02,7.9,7.9,7.9,7.9,0
2023-06-05,7.2,7.8,7.2,7.8,200
2023-06-06,7.8,7.8,7.8,7.8,46
2023-06-07,7.8,7.8,7.8,7.8,15
2023-06-08,7.8,8.3,7.8,8.3,202
2023-06-09,7.5,9.1,7.5,9.1,5630
2023-06-12,9.0,10.0,9.0,9.9,7700
2023-06-13,10.7,10.8,10.5,10.6,22043
2023-06-14,11.3,11.3,10.6,11.3,502
2023-06-15,11.3,11.3,11.3,11.3,0
2023-06-16,11.3,11.3,11.3,11.3,0
2023-06-19,11.3,11.3,11.3,11.3,0
2023-06-20,11.3,11.3,11.3,11.3,0
2023-06-21,11.3,11.3,11.3,11.3,2000
2023-06-22,11.3,11.3,11.3,11.3,0
2023-06-23,10.2,10.2,10.2,10.2,201
2023-06-26,10.2,10.2,10.2,10.2,0
2023-06-27,10.5,10.5,10.5,10.5,100
2023-06-28,10.5,10.5,10.5,10.5,0
2023-06-29,11.2,11.2,10.3,10.3,400
2023-06-30,10.3,10.3,10.3,10.3,0
2023-07-03,11.0,11.0,11.0,11.0,100
2023-07-04,11.9,11.9,10.5,10.7,3600
2023-07-05,10.7,10.7,10.7,10.7,0
2023-07-06,10.7,10.7,10.7,10.7,0
2023-07-07,11.5,11.5,11.5,11.5,200
2023-07-10,11.5,11.5,11.5,11.5,0
2023-07-11,11.5,11.5,11.5,11.5,0
2023-07-12,10.4,10.4,10.4,10.4,100
2023-07-13,9.4,9.4,9.4,9.4,1601
2023-07-14,8.5,8.5,8.5,8.5,1410
2023-07-17,7.9,8.8,7.9,8.8,18920
2023-07-18,9.3,9.3,8.0,8.7,1000
2023-07-19,8.0,8.6,7.9,7.9,2420
2023-07-20,8.3,8.3,7.9,7.9,302
2023-07-21,7.9,7.9,7.9,7.9,0
2023-07-24,7.5,8.0,7.4,8.0,1345
2023-07-25,8.0,8.0,8.0,8.0,10
2023-07-26,7.9,8.4,7.3,8.2,4030
2023-07-27,8.1,8.9,8.1,8.9,1302
2023-07-28,8.9,9.4,8.9,9.4,200
2023-07-31,8.5,9.1,8.5,8.5,6400
2023-08-01,8.5,8.5,8.5,8.5,0
2023-08-02,9.1,9.1,9.1,9.1,133
2023-08-03,8.4,8.4,8.2,8.4,2200
2023-08-04,8.8,8.8,7.7,7.7,1902
2023-08-07,8.2,8.2,7.7,8.2,800
2023-08-08,8.6,8.6,8.3,8.3,355
2023-08-09,8.3,8.3,8.3,8.3,0
2023-08-10,8.3,8.3,8.3,8.3,0
2023-08-11,8.1,8.1,8.1,8.1,3002
2023-08-14,8.4,8.4,7.5,8.4,500
2023-08-15,8.2,8.2,7.6,7.6,600
2023-08-16,7.3,8.1,7.3,8.0,16154
2023-08-17,8.0,8.0,8.0,8.0,0
2023-08-18,7.3,7.6,7.3,7.6,200
2023-08-21,8.3,8.3,6.9,7.7,3200
2023-08-22,7.7,7.7,7.7,7.7,0
2023-08-23,7.0,7.6,7.0,7.6,1220
2023-08-24,7.0,7.6,7.0,7.6,200
2023-08-25,7.0,7.7,7.0,7.7,2300
2023-08-28,7.7,7.7,7.7,7.7,1
2023-08-29,7.0,7.6,7.0,7.6,420
2023-08-30,7.6,7.6,7.6,7.6,0
2023-08-31,7.7,7.7,7.0,7.7,4500
2023-09-05,7.6,7.6,7.2,7.6,10201
2023-09-06,8.1,8.1,7.8,7.8,2600
2023-09-07,7.6,7.6,7.6,7.6,1016
2023-09-08,7.6,8.3,7.6,8.0,2100
2023-09-11,8.0,8.0,8.0,8.0,0
2023-09-12,8.6,8.6,8.1,8.1,200
2023-09-13,8.1,8.1,8.1,8.1,0
2023-09-14,8.7,8.7,8.7,8.7,100
2023-09-15,8.7,9.3,8.7,8.8,300
2023-09-18,8.0,8.0,8.0,8.0,205
2023-09-19,8.6,8.6,7.2,8.2,300
2023-09-20,8.6,8.6,7.4,8.2,1200
2023-09-21,8.5,8.5,7.8,7.8,1500
2023-09-22,7.8,7.8,7.5,7.7,2100
2023-09-25,7.7,7.7,7.7,7.7,0
2023-09-26,7.7,7.7,7.7,7.7,0
2023-09-27,7.7,7.7,7.7,7.7,0
2023-09-28,7.7,7.7,7.7,7.7,0
2023-09-29,7.7,7.7,7.7,7.7,0
2023-10-02,7.9,7.9,7.9,7.9,1100
2023-10-03,7.9,7.9,7.9,7.9,0
2023-10-04,7.9,7.9,7.9,7.9,0
2023-10-05,7.9,7.9,7.9,7.9,0
2023-10-06,7.9,7.9,7.9,7.9,0
2023-10-09,7.9,8.5,7.9,8.5,400
2023-10-10,9.1,9.1,7.9,7.9,200
2023-10-11,7.9,7.9,7.9,7.9,0
2023-10-12,7.9,7.9,7.9,7.9,0
2023-10-13,8.5,8.5,8.5,8.5,100
2023-10-16,8.5,8.5,8.5,8.5,0
2023-10-17,8.0,8.0,8.0,8.0,100
2023-10-18,8.0,8.0,8.0,8.0,0
2023-10-19,8.0,8.0,8.0,8.0,0
2023-10-20,8.0,8.0,8.0,8.0,0
2023-10-23,8.0,8.0,8.0,8.0,0
2023-10-24,7.2,7.8,7.2,7.8,1000
2023-10-25,7.8,7.8,7.8,7.8,0
2023-10-26,7.8,7.8,7.8,7.8,0
2023-10-27,7.8,7.8,7.8,7.8,0
2023-10-30,7.1,7.5,7.1,7.5,1200
2023-10-31,6.8,7.9,6.8,7.9,10921
2023-11-01,7.9,7.9,7.9,7.9,0
2023-11-02,7.2,7.6,7.2,7.4,400
2023-11-03,7.4,7.4,7.4,7.4,0
2023-11-06,7.7,7.7,7.7,7.7,101
2023-11-07,7.7,7.7,7.7,7.7,0
2023-11-08,7.9,7.9,7.9,7.9,100
2023-11-09,7.9,7.9,7.9,7.9,0
2023-11-10,8.1,8.1,8.1,8.1,116
2023-11-13,7.4,7.5,7.4,7.5,200
2023-11-14,6.8,7.7,6.8,7.3,4491
2023-11-15,6.6,7.4,6.6,6.6,1000
2023-11-16,6.6,7.2,6.6,7.0,3210
2023-11-17,7.2,7.6,7.2,7.2,500
2023-11-20,6.5,7.7,6.5,6.6,900
2023-11-21,6.5,7.2,6.5,7.2,300
2023-11-22,6.5,7.1,6.5,7.1,200
2023-11-23,6.4,7.3,6.4,7.3,1900
2023-11-24,7.3,7.3,7.3,7.3,5
2023-11-27,7.3,7.3,7.3,7.3,0
2023-11-28,6.6,7.1,6.6,7.1,200
2023-11-29,7.1,7.1,7.1,7.1,0
2023-11-30,6.4,7.0,6.4,7.0,200
2023-12-01,6.8,7.7,6.8,7.7,1300
2023-12-04,7.3,8.4,7.3,8.4,25300
2023-12-05,7.6,9.2,7.6,9.2,13300
2023-12-06,8.5,10.0,8.3,10.0,7200
2023-12-07,10.9,10.9,10.9,10.9,100
2023-12-08,11.6,11.6,10.4,11.2,1203
2023-12-11,10.1,10.1,10.1,10.1,100
2023-12-12,9.1,10.8,9.1,10.8,8300
2023-12-13,11.3,11.7,11.3,11.7,300
2023-12-14,10.6,10.6,10.6,10.6,19700
2023-12-15,9.6,10.7,9.6,10.0,5500
2023-12-18,10.0,10.6,9.0,10.6,18400
2023-12-19,10.3,10.3,10.3,10.3,100
2023-12-20,9.4,11.3,9.3,10.7,54005
2023-12-21,10.7,10.7,10.7,10.7,0
2023-12-22,9.7,9.8,9.7,9.7,4000
2023-12-25,8.8,9.6,8.8,9.6,5500
2023-12-26,8.7,8.9,8.7,8.9,3400
2023-12-27,8.1,8.9,8.1,8.9,41668
2023-12-28,8.1,8.9,8.1,8.9,600
2023-12-29,8.1,9.4,8.1,9.4,12520
2024-01-02,8.5,10.0,8.5,9.8,22800
2024-01-03,8.9,9.4,8.9,9.2,9100
2024-01-04,9.2,9.2,9.2,9.2,0
2024-01-05,8.6,9.1,8.3,8.3,32200
2024-01-08,8.2,8.5,8.2,8.5,500
2024-01-09,8.5,9.1,7.9,9.1,16000
2024-01-10,9.1,9.1,9.1,9.1,0
2024-01-11,8.6,9.7,8.6,9.7,6300
2024-01-12,9.2,9.3,8.8,8.8,1300
2024-01-15,8.8,8.8,8.8,8.8,0
2024-01-16,8.8,8.8,8.8,8.8,0
2024-01-17,9.6,9.6,9.6,9.6,100
2024-01-18,9.6,9.6,9.6,9.6,0
2024-01-19,8.7,8.9,8.7,8.7,3635
2024-01-22,9.2,9.2,7.9,7.9,5300
2024-01-23,7.9,7.9,7.2,7.6,4400
2024-01-24,8.3,8.3,7.4,7.8,2400
2024-01-25,7.5,7.6,7.5,7.6,2400
2024-01-26,7.9,8.0,7.9,8.0,2600
