date,open,high,low,close,volume
2023-06-27,6.79,6.79,6.71,6.71,500
2023-06-28,6.79,6.79,6.79,6.79,6
2023-06-29,6.79,6.79,6.79,6.79,3
2023-06-30,6.79,6.79,6.79,6.79,0
2023-07-03,6.79,6.79,6.79,6.79,0
2023-07-04,6.79,6.79,6.79,6.79,0
2023-07-05,6.79,6.79,6.79,6.79,0
2023-07-06,6.79,6.79,6.79,6.79,0
2023-07-07,6.79,6.79,6.79,6.79,0
2023-07-10,6.79,6.79,6.79,6.79,0
2023-07-11,6.79,6.79,6.79,6.79,0
2023-07-12,6.79,6.79,6.79,6.79,0
2023-07-13,6.79,6.79,6.79,6.79,0
2023-07-14,6.79,6.79,6.79,6.79,0
2023-07-17,6.79,6.79,6.79,6.79,0
2023-07-18,6.79,6.79,6.79,6.79,0
2023-07-19,6.79,6.79,6.79,6.79,0
2023-07-20,6.79,6.79,6.79,6.79,0
2023-07-21,6.79,6.79,6.79,6.79,0
2023-07-24,6.79,6.79,6.79,6.79,0
2023-07-25,6.79,6.79,6.79,6.79,0
2023-07-26,6.79,6.79,6.79,6.79,0
2023-07-27,6.79,6.79,6.79,6.79,0
2023-07-28,6.79,6.79,6.79,6.79,0
2023-07-31,6.79,6.79,6.79,6.79,0
2023-08-01,6.79,6.79,6.79,6.79,0
2023-08-02,6.79,6.79,6.79,6.79,0
2023-08-03,6.79,6.79,6.79,6.79,0
2023-08-04,6.79,6.79,6.79,6.79,0
2023-08-07,6.79,6.79,6.79,6.79,0
2023-08-08,6.79,6.79,6.79,6.79,0
2023-08-09,6.79,6.79,6.79,6.79,0
2023-08-10,7.04,7.04,7.04,7.04,500
2023-08-11,7.04,7.04,7.04,7.04,0
2023-08-14,7.04,7.04,7.04,7.04,0
2023-08-15,7.04,7.04,7.04,7.04,0
2023-08-16,7.04,7.04,7.04,7.04,0
2023-08-17,7.04,7.04,7.04,7.04,0
2023-08-18,7.04,7.04,7.04,7.04,0
2023-08-21,7.04,7.04,7.04,7.04,0
2023-08-22,7.04,7.04,7.04,7.04,0
2023-08-23,7.04,7.04,7.04,7.04,0
2023-08-24,7.04,7.04,7.04,7.04,0
2023-08-25,7.04,7.04,7.04,7.04,4
2023-08-28,7.04,7.04,7.04,7.04,0
2023-08-29,7.04,7.04,7.04,7.04,0
2023-08-30,7.04,7.04,7.04,7.04,0
2023-08-31,7.04,7.04,7.04,7.04,0
2023-09-05,7.04,7.04,7.04,7.04,0
2023-09-06,7.04,7.04,7.04,7.04,4
2023-09-07,7.04,7.04,7.04,7.04,0
2023-09-08,7.04,7.04,7.04,7.04,0
2023-09-11,7.04,7.04,7.04,7.04,300
2023-09-12,7.04,7.04,7.04,7.04,0
2023-09-13,7.04,7.04,7.04,7.04,0
2023-09-14,6.71,6.71,6.71,6.71,1000
2023-09-15,6.71,6.71,6.71,6.71,2
2023-09-18,6.71,6.71,6.71,6.71,0
2023-09-19,6.71,6.71,6.71,6.71,0
2023-09-20,6.63,6.63,6.63,6.63,300
2023-09-21,6.63,6.63,6.63,6.63,0
2023-09-22,6.63,6.63,6.63,6.63,0
2023-09-25,7.04,7.04,6.63,6.63,1800
2023-09-26,6.88,6.88,6.88,6.88,0
2023-09-27,6.79,6.79,6.71,6.71,1000
2023-09-28,6.71,6.71,6.71,6.71,0
2023-09-29,6.71,6.71,6.71,6.71,0
2023-10-02,6.71,6.71,6.71,6.71,0
2023-10-03,6.71,6.71,6.71,6.71,0
2023-10-04,6.71,6.71,6.71,6.71,0
2023-10-05,6.71,6.71,6.71,6.71,0
2023-10-06,6.71,6.71,6.71,6.71,3
2023-10-09,6.71,6.71,6.71,6.71,0
2023-10-10,6.71,6.71,6.71,6.71,0
2023-10-11,6.71,6.71,6.71,6.71,0
2023-10-12,6.71,6.71,6.71,6.71,0
2023-10-13,6.71,6.71,6.71,6.71,0
2023-10-16,6.71,6.71,6.71,6.71,0
2023-10-17,6.71,6.71,6.71,6.71,0
2023-10-18,7.29,7.29,7.29,7.29,100
2023-10-19,7.29,7.29,7.29,7.29,0
2023-10-20,7.29,7.29,7.29,7.29,2
2023-10-23,7.29,7.29,7.29,7.29,0
2023-10-24,7.29,7.29,7.29,7.29,0
2023-10-25,7.29,7.29,7.29,7.29,0
2023-10-26,7.29,7.29,7.29,7.29,0
2023-10-27,7.29,7.29,7.29,7.29,0
2023-10-30,7.29,7.29,7.29,7.29,0
2023-10-31,7.29,7.29,7.29,7.29,0
2023-11-01,7.29,7.29,7.29,7.29,0
2023-11-02,7.29,7.29,7.29,7.29,0
2023-11-03,7.29,7.29,7.29,7.29,0
2023-11-06,7.29,7.29,7.29,7.29,0
2023-11-07,7.29,7.29,7.29,7.29,0
2023-11-08,7.29,7.29,7.29,7.29,0
2023-11-09,7.29,7.29,7.29,7.29,0
2023-11-10,7.29,7.29,7.29,7.29,0
2023-11-13,7.29,7.29,7.29,7.29,0
2023-11-14,7.29,7.29,7.29,7.29,0
2023-11-15,7.29,7.29,7.29,7.29,0
2023-11-16,7.29,7.29,7.29,7.29,0
2023-11-17,7.29,7.29,7.29,7.29,0
2023-11-20,7.29,7.29,7.29,7.29,0
2023-11-21,7.29,7.29,7.29,7.29,0
2023-11-22,7.29,7.29,7.29,7.29,3000
2023-11-23,6.63,6.63,6.21,6.21,3000
2023-11-24,6.38,6.38,6.38,6.38,0
2023-11-27,6.38,6.38,6.38,6.38,0
2023-11-28,6.38,6.38,6.38,6.38,0
2023-11-29,6.38,6.38,6.38,6.38,6
2023-11-30,6.38,6.38,6.38,6.38,0
2023-12-01,6.38,6.38,6.38,6.38,0
2023-12-04,6.38,6.38,6.38,6.38,0
2023-12-05,6.38,6.38,6.38,6.38,0
2023-12-06,6.38,6.38,6.38,6.38,0
2023-12-07,6.38,6.38,6.38,6.38,0
2023-12-08,6.38,6.38,6.38,6.38,0
2023-12-11,6.38,6.38,6.38,6.38,0
2023-12-12,6.38,6.38,6.38,6.38,0
2023-12-13,6.38,6.38,6.38,6.38,0
2023-12-14,6.38,6.38,6.38,6.38,0
2023-12-15,6.38,6.38,6.38,6.38,0
2023-12-18,6.38,6.38,6.38,6.38,0
2023-12-19,6.38,6.38,6.38,6.38,0
2023-12-20,6.38,6.38,6.38,6.38,0
2023-12-21,6.38,6.38,6.38,6.38,0
2023-12-22,6.38,6.38,6.38,6.38,0
2023-12-25,6.38,6.38,6.38,6.38,0
2023-12-26,6.63,6.63,6.63,6.63,100
2023-12-27,6.63,6.63,6.63,6.63,0
2023-12-28,6.63,6.63,6.63,6.63,0
2023-12-29,6.63,6.63,6.63,6.63,0
2024-01-02,6.63,6.63,6.63,6.63,0
2024-01-03,6.63,6.63,6.63,6.63,0
2024-01-04,6.63,6.63,6.63,6.63,0
2024-01-05,6.63,6.63,6.63,6.63,0
2024-01-08,6.63,6.63,6.63,6.63,0
2024-01-09,6.63,6.63,6.63,6.63,0
2024-01-10,6.63,6.63,6.63,6.63,0
2024-01-11,6.63,6.63,6.63,6.63,0
2024-01-12,6.63,6.63,6.63,6.63,0
2024-01-15,6.63,6.63,6.63,6.63,0
2024-01-16,6.63,6.63,6.63,6.63,0
2024-01-17,6.63,6.63,6.63,6.63,0
2024-01-18,6.63,6.63,6.63,6.63,0
2024-01-19,6.63,6.63,6.63,6.63,0
2024-01-22,6.63,6.63,6.63,6.63,0
2024-01-23,6.63,6.63,6.63,6.63,0
2024-01-24,6.79,7.46,6.79,7.46,2900
2024-01-25,7.04,7.04,7.04,7.04,0
2024-01-26,7.04,7.04,7.04,7.04,0
2024-01-29,7.04,7.04,7.04,7.04,0
2024-01-30,7.04,7.04,7.04,7.04,6
2024-01-31,7.04,7.04,7.04,7.04,0
2024-02-01,7.04,7.04,7.04,7.04,0
2024-02-02,7.04,7.04,7.04,7.04,0
2024-02-05,7.04,7.04,7.04,7.04,0
2024-02-06,7.04,7.04,7.04,7.04,0
2024-02-07,7.04,7.04,7.04,7.04,0
2024-02-15,7.04,7.04,7.04,7.04,0
2024-02-16,7.04,7.04,7.04,7.04,0
2024-02-19,7.04,7.04,7.04,7.04,0
2024-02-20,7.04,7.04,7.04,7.04,0
2024-02-21,7.04,7.04,7.04,7.04,0
2024-02-22,7.04,7.04,7.04,7.04,0
2024-02-23,7.04,7.04,7.04,7.04,0
2024-02-26,7.04,7.04,7.04,7.04,0
2024-02-27,7.04,7.04,7.04,7.04,0
2024-02-28,7.04,7.04,7.04,7.04,0
2024-02-29,7.04,7.04,7.04,7.04,0
2024-03-01,7.04,7.04,7.04,7.04,0
2024-03-04,6.71,6.71,6.71,6.71,3400
2024-03-05,6.71,6.71,6.71,6.71,0
2024-03-06,7.04,7.04,7.04,7.04,250
2024-03-07,7.21,7.29,7.21,7.29,2000
2024-03-08,7.29,7.29,7.29,7.29,1000
2024-03-11,7.46,7.46,7.46,7.46,1000
2024-03-12,7.46,7.46,7.46,7.46,0
2024-03-13,7.46,7.46,7.46,7.46,0
2024-03-14,7.62,8.53,7.62,8.53,3301
2024-03-15,8.29,8.29,8.29,8.29,23
2024-03-18,8.29,8.29,8.29,8.29,27
2024-03-19,8.29,8.29,8.29,8.29,0
2024-03-20,8.29,8.29,8.29,8.29,0
2024-03-21,8.29,8.29,8.29,8.29,0
2024-03-22,8.29,8.29,8.29,8.29,0
2024-03-25,8.29,8.29,8.29,8.29,0
2024-03-26,8.29,8.29,8.29,8.29,0
2024-03-27,8.29,8.29,8.29,8.29,53
2024-03-28,8.29,8.29,8.29,8.29,0
2024-03-29,8.29,8.29,8.29,8.29,0
