date,open,high,low,close,volume
2019-06-06,4189.829750153445,4189.829750153445,4189.829750153445,4189.829750153445,0.0
2019-06-07,4189.829750153445,4189.829750153445,4189.829750153445,4189.829750153445,0.0
2019-06-10,4189.829750153445,4189.829750153445,4189.829750153445,4189.829750153445,0.0
2019-06-11,4189.829750153445,4189.829750153445,4189.829750153445,4189.829750153445,0.0
2019-06-12,4189.829750153445,4189.829750153445,4189.829750153445,4189.829750153445,0.0
2019-06-13,5846.274069981552,5846.274069981552,5846.274069981552,5846.274069981552,100.0
2019-06-14,6723.215180478785,6723.215180478785,6723.215180478785,6723.215180478785,100.0
2019-06-17,7721.953667433967,7721.953667433967,7721.953667433967,7721.953667433967,100.0
2019-06-18,8866.849006138687,8866.849006138687,8866.849006138687,8866.849006138687,100.0
2019-06-19,10182.260671884536,10182.260671884536,10182.260671884536,10182.260671884536,200.0
2019-06-20,11692.548139963104,11692.548139963104,11692.548139963104,11692.548139963104,100.0
2019-06-21,13446.43036095757,13446.43036095757,13446.43036095757,13446.43036095757,25300.0
2019-06-24,15443.907334867934,15443.907334867934,15443.907334867934,15443.907334867934,5200.0
2019-06-25,17758.057487568967,17758.057487568967,17538.822209944654,17758.057487568967,78400.0
2019-06-26,20218.364492019537,20218.364492019537,17051.63270411286,17538.822209944654,26100.0
2019-06-27,17538.822209944654,17660.61958640261,17417.024833486706,17490.103259361476,247500.0
2019-06-28,16686.240574739015,16686.240574739015,16223.410544198809,16223.410544198809,330300.0
2019-07-01,16077.253692449269,16077.253692449269,15102.874680785677,15590.064186617474,23400.0
2019-07-02,16564.443198281064,17538.822209944654,16320.848445365164,16808.037951196962,61500.0
2019-07-03,16978.554278238094,17538.822209944654,16954.1948029465,17295.22745702876,98800.0
2019-07-04,17295.22745702876,19000.390727440044,17295.22745702876,18854.23387569051,110200.0
2019-07-05,18976.031252148456,20802.99189901769,18976.031252148456,20315.80239318589,44900.0
2019-07-08,20218.364492019537,20583.75662139338,19487.58023327184,20047.848164978404,65900.0
2019-07-09,19779.89393677092,21290.18140484949,19779.89393677092,21265.821929557893,95400.0
2019-07-10,20827.35137430928,23336.37732934303,20705.553997851333,23092.78257642713,303700.0
2019-07-11,22410.71726826261,24091.52106338231,19170.907054481173,21923.527762430826,218400.0
2019-07-12,21679.933009514923,22629.952545886925,21558.13563305697,21874.80881184764,77700.0
2019-07-15,21923.527762430826,22167.12251534672,21436.338256599025,21923.527762430826,33700.0
2019-07-16,21241.462454266308,21679.933009514923,21241.462454266308,21436.338256599025,66500.0
2019-07-17,21558.13563305697,21558.13563305697,20047.848164978404,20461.95924493543,104200.0
2019-07-18,20827.35137430928,22167.12251534672,19974.769739103634,21899.16828713924,62700.0
2019-07-19,22045.32513888877,23385.09627992621,22045.32513888877,22410.71726826261,104300.0
2019-07-22,22410.71726826261,22727.390447053283,22191.48199063831,22532.51464472057,54000.0
2019-07-23,22532.51464472057,23336.37732934303,22483.795694137385,22776.109397636465,119300.0
2019-07-24,22897.90677409441,22897.90677409441,22410.71726826261,22410.71726826261,32100.0
2019-07-25,22191.48199063831,22410.71726826261,21923.527762430826,22167.12251534672,56400.0
2019-07-26,21947.887237722407,22045.32513888877,21485.057207182206,21679.933009514923,119300.0
2019-07-29,21679.933009514923,21801.73038597287,21387.619306015848,21679.933009514923,33200.0
2019-07-30,21558.13563305697,22508.155169428977,21558.13563305697,22410.71726826261,34300.0
2019-07-31,22897.90677409441,25601.80853146088,22897.90677409441,25601.80853146088,259000.0
2019-08-01,26795.42282074878,28671.1024182012,26186.43593845904,28671.1024182012,183900.0
2019-08-02,29231.37034990776,32373.742662522844,29231.37034990776,30692.93886740315,131700.0
2019-08-05,30692.93886740315,32398.102137814432,28744.180844075967,32008.350533149,90900.0
2019-08-06,31667.31787906674,32130.14790960695,30449.34411448725,31423.72312615084,120800.0
2019-08-07,31545.5205026088,32154.507384898538,29718.55985573956,30035.233034530225,96700.0
2019-08-08,26088.99803729268,30692.93886740315,26088.99803729268,28744.180844075967,154000.0
2019-08-09,28037.75606061986,30449.34411448725,26917.22019720673,28744.180844075967,168000.0
2019-08-12,29231.37034990776,30449.34411448725,29231.37034990776,30376.26568861249,36600.0
2019-08-13,30692.93886740315,30692.93886740315,28987.77559699186,29718.55985573956,34400.0
2019-08-14,29474.96510282366,29962.15460865545,28987.77559699186,29231.37034990776,44900.0
2019-08-15,30449.34411448725,32154.507384898538,28013.396585328268,32154.507384898538,134900.0
2019-08-16,32154.507384898538,33737.87327885187,32154.507384898538,32154.507384898538,67100.0
2019-08-19,32178.866860190126,34103.26540822572,32178.866860190126,33372.48114947803,53200.0
2019-08-20,33372.48114947803,34103.26540822572,33372.48114947803,33859.67065530982,53100.0
