date,open,high,low,close,volume
2018-07-02,11306.46329626505,13793.885221443363,11306.46329626505,11758.721828115653,1814600.0
2018-07-03,12210.980359966255,12210.980359966255,10221.042819823608,10447.172085748909,255100.0
2018-07-04,10989.88232396963,11080.33403033975,10854.20476441445,11080.33403033975,143600.0
2018-07-05,10899.43061759951,11080.33403033975,10808.97891122939,10899.43061759951,381500.0
2018-07-06,10808.97891122939,10899.43061759951,10401.946232563849,10854.20476441445,107400.0
2018-07-09,11080.33403033975,11306.46329626505,10854.20476441445,10854.20476441445,106500.0
2018-07-10,10854.20476441445,10854.20476441445,10537.623792119028,10582.849645304086,13100.0
2018-07-11,10492.397938933967,10492.397938933967,10221.042819823608,10401.946232563849,307000.0
2018-07-12,10447.172085748909,10447.172085748909,10266.268673008666,10266.268673008666,22700.0
2018-07-13,10808.97891122939,10808.97891122939,9949.687700713244,10356.720379378785,139300.0
2018-07-16,10401.946232563849,10401.946232563849,9497.429168862644,9814.010141158065,137200.0
2018-07-17,9859.235994343126,10808.97891122939,9859.235994343126,10401.946232563849,44300.0
2018-07-18,10401.946232563849,10401.946232563849,10175.816966638546,10175.816966638546,140800.0
2018-07-19,10221.042819823608,10311.494526193726,10175.816966638546,10311.494526193726,96700.0
2018-07-20,10175.816966638546,10175.816966638546,10175.816966638546,10175.816966638546,5500.0
2018-07-23,10356.720379378785,10492.397938933967,10221.042819823608,10356.720379378785,321800.0
2018-07-24,10401.946232563849,10447.172085748909,10356.720379378785,10356.720379378785,285600.0
2018-07-25,10356.720379378785,10356.720379378785,10311.494526193726,10311.494526193726,78000.0
2018-07-26,10311.494526193726,10401.946232563849,10266.268673008666,10401.946232563849,263600.0
2018-07-27,10401.946232563849,10401.946232563849,10175.816966638546,10221.042819823608,217000.0
2018-07-30,10266.268673008666,10311.494526193726,10085.365260268427,10130.591113453485,203600.0
2018-07-31,8773.81551790168,10356.720379378785,8773.81551790168,10311.494526193726,422500.0
2018-08-01,10356.720379378785,10628.075498489148,10356.720379378785,10401.946232563849,1017700.0
2018-08-02,10401.946232563849,10492.397938933967,10356.720379378785,10401.946232563849,780800.0
2018-08-03,10447.172085748909,10854.20476441445,10447.172085748909,10447.172085748909,819100.0
2018-08-06,10447.172085748909,10763.753058044329,10311.494526193726,10763.753058044329,1593800.0
