group,horizon,trade_count,median_alpha,mean_alpha,sharpe_like
BOTH,8,88,0.061779897360665706,0.08808672913979,0.4642916758878327
BOTH,10,88,0.0474043532669639,0.09635740618968089,0.43555802557344386
BOTH,13,88,0.08679877028784405,0.12097812158030231,0.5288416269511051
BOTH,16,88,0.1025458532609676,0.14260024822127476,0.5826284744725266
BOTH,20,88,0.10289740824273244,0.16392060978136203,0.5553878825662182
BOTH,-1,440,0.08633653012609391,0.12238862298248201,0.50971119913576
BREAKOUT_ONLY,8,56,0.03368157936021955,0.055063612496611895,0.38185338199150526
BREAKOUT_ONLY,10,56,0.0020781725218861,0.054553331939835456,0.31723195511428115
BREAKOUT_ONLY,13,56,0.0288426176355607,0.044022877083158586,0.25202052733903696
BREAKOUT_ONLY,16,56,0.035641846591116494,0.0681541167338385,0.3012513019244096
BREAKOUT_ONLY,20,56,0.03424585314323555,0.09698084880589146,0.39354016550754134
BREAKOUT_ONLY,-1,280,0.026425171283973002,0.0637549574118672,0.3232803142099346
MA_ONLY,8,77,0.0332402165564471,0.056583219299286565,0.40048844699683844
MA_ONLY,10,77,0.0253938771466886,0.06034186916379358,0.39497964359788124
MA_ONLY,13,77,0.0297834865871768,0.0517993809794231,0.3012533130141122
MA_ONLY,16,77,0.041966009519392,0.06440864345003021,0.30821122784217636
MA_ONLY,20,77,0.0336716028309511,0.08468462192101674,0.37223745492965055
MA_ONLY,-1,385,0.0310523082063785,0.06356354696271004,0.3458029875416592
