symbol,entry_date,exit_date,hold_weeks,ret,exit_reason
MWG,2025-02-07,2025-03-14,5,0.036372881355932134,MARKET_DD
FRT,2025-02-07,2025-03-14,5,-0.12315686274509823,MA10
PNJ,2025-02-07,2025-03-14,5,-0.10776971260081707,MA10
STB,2025-02-07,2025-03-14,5,0.049706521739130434,MARKET_DD
DCM,2025-02-14,2025-03-14,4,-0.02620202020202017,MA10
QNS,2025-02-14,2025-03-14,4,-0.05648543689320398,MA10
IDC,2025-02-14,2025-03-14,4,-0.015124087591240998,MA10
MIG,2025-02-14,2025-03-14,4,-0.008873563218390668,MA10
HUT,2025-02-14,2025-03-14,4,0.012867924528301865,MA10
PET,2025-02-14,2025-03-14,4,-0.014474576271186632,MA10
LAS,2025-02-14,2025-03-14,4,-0.011235602094240998,MA10
DRC,2025-02-14,2025-03-14,4,-0.07556521739130428,MA10
POW,2025-02-14,2025-03-14,4,-0.0018158995815899222,MARKET_DD
VEA,2025-02-14,2025-03-14,4,-0.025753086419752894,MA10
NT2,2025-02-21,2025-03-14,3,-0.07945971563981039,MA10
PVD,2025-02-21,2025-03-14,3,-0.05548453608247419,MA10
ORS,2025-02-21,2025-03-14,3,-0.07062585034013606,MA10
CSV,2025-02-21,2025-03-14,3,-0.12976779846659367,MA10
GAS,2025-02-28,2025-03-14,2,-0.013331378299120098,MARKET_DD
ANV,2025-02-28,2025-03-14,2,-0.011780346820809352,MA10
PC1,2025-03-07,2025-03-14,1,-0.05599999999999977,MA10
DHC,2025-03-07,2025-03-14,1,-0.05231444852203404,MA10
HAX,2025-03-07,2025-03-14,1,-0.06762464985994412,MA10
BSR,2025-03-07,2025-03-14,1,-0.07707843137254888,MA10
VPI,2025-03-07,2025-03-14,1,-0.058188552188552185,MA10
PVS,2025-03-07,2025-03-14,1,-0.09563585434173678,MA10
PLC,2025-03-07,2025-03-14,1,-0.06347126436781614,MA10
PVC,2025-03-07,2025-03-14,1,-0.07496551724137931,MA10
VHC,2025-03-07,2025-03-14,1,-0.07802216066482025,MA10
PVT,2025-03-07,2025-03-14,1,-0.058238805970149056,MA10
HDG,2025-03-07,2025-03-14,1,-0.027201413427561924,MARKET_DD
NKG,2025-03-07,2025-03-14,1,-0.009134796238244515,MARKET_DD
DGC,2025-03-07,2025-03-14,1,-0.05488888888888885,MA10
CTI,2025-03-14,2025-03-14,0,-0.008314814814814815,MARKET_DD
DLG,2025-03-14,2025-03-14,0,-0.030752475247524752,MA10
BID,2025-02-14,2025-03-21,5,-0.031925925925925795,MA10
DPM,2025-02-21,2025-03-21,4,-0.03075928473177425,MA10
BVH,2025-02-21,2025-03-21,4,-0.04092647058823528,MA10
HPG,2025-03-07,2025-03-21,2,-0.038085561497326205,MARKET_DD
VNM,2025-03-07,2025-03-21,2,-0.029885350318471254,MA10
DGW,2025-02-14,2025-03-28,6,-0.024087855297157817,MA10
QTP,2025-02-21,2025-03-28,5,-0.01319424460431648,MA10
